circuit,aspect_ratio,grid_w,grid_h,area_mwta,delay_ns,power_w,adp,adp_reduction_pct_vs_baseline,vtr_success,vtr_seconds,dsp_coords,bram_coords
fifo,0.5,4,8,41804.3,1.90864,0.0106,845.7672070112001,60.04402601817216,True,0.64,[],"[[2, 1]]"
fifo,0.7,6,9,79472.1,2.07126,0.01075,1769.5293548445002,16.403392947687117,True,0.67,[],"[[2, 1]]"
fifo,0.8,6,8,76844.4,1.9916,0.01088,1665.1111805952,21.33634591506287,True,0.63,[],"[[2, 1]]"
fifo,0.2,4,20,112475.0,2.0264,0.01147,2614.2348298,-23.5024223875988,True,0.74,[],"[[2, 1]]"
fifo,0.6,5,8,47741.5,2.06477,0.01012,997.5811955846002,52.871986564251884,True,0.71,[],"[[2, 1]]"
fifo,1.1,9,8,115160.0,1.97816,0.01197,2726.8247200319997,-28.821425876305895,True,0.69,[],"[[2, 1]]"
fifo,0.3,4,13,68601.3,2.06275,0.01048,1482.9968349059998,29.9398434233068,True,0.76,[],"[[2, 1]]"
fifo,0.4,4,10,49754.3,2.10196,0.009933,1038.808520535324,50.924313600088745,True,0.73,[],"[[2, 1]]"
fifo,0.1,4,40,238140.0,2.00695,0.01376,6576.38660448,-210.6835189219678,True,0.87,[],"[[2, 1]]"
fifo,0.9,7,8,94358.0,1.93167,0.0116,2114.3148071759997,0.11494093811694053,True,0.85,[],"[[2, 1]]"
fifo,1.0,8,8,99501.1,1.93255,0.01197,2301.7214841358505,-8.738578383222094,True,0.83,[],"[[2, 1]]"
fifo,1.5,12,8,181296.0,1.97452,0.01296,4639.3246098432,-119.1722874420854,True,0.82,[],"[[2, 1]]"
fifo,1.6,12,8,181296.0,1.97452,0.01296,4639.3246098432,-119.1722874420854,True,0.87,[],"[[2, 1]]"
fifo,1.2,10,8,130709.0,1.94977,0.01251,3188.2046114943,-50.61806540806548,True,0.92,[],"[[2, 1]]"
fifo,1.3,10,8,130709.0,1.94977,0.01251,3188.2046114943,-50.61806540806548,True,1.03,[],"[[2, 1]]"
fifo,1.4,11,8,194819.0,1.93045,0.01307,4915.4745848485,-132.21824278881246,True,1.13,[],"[[2, 1]]"
fifo,1.8,14,8,192913.0,1.99188,0.01348,5179.8186860112,-144.70646169910967,True,0.83,[],"[[2, 1]]"
fifo,2.0,15,8,208463.0,1.97374,0.01387,5706.8359336694,-169.6039598059696,True,0.82,[],"[[2, 1]]"
fifo,1.7,13,8,177364.0,1.97374,0.01328,4648.935195660801,-119.62631345975896,True,0.93,[],"[[2, 1]]"
fifo,1.9,15,8,208463.0,1.97374,0.01387,5706.8359336694,-169.6039598059696,True,0.88,[],"[[2, 1]]"
ch_intrinsics,0.3,7,23,376228.0,2.01517,0.01235,9363.317727686,-15.011862403823994,True,1.22,[],"[[2, 1]]"
ch_intrinsics,0.4,7,18,288097.0,2.02062,0.01101,6409.301507141401,21.27302260988822,True,1.33,[],"[[2, 1]]"
ch_intrinsics,0.7,9,13,250644.0,2.00313,0.01102,5532.8391232344,32.03881888335844,True,1.28,[],"[[2, 1]]"
