circuit,aspect_ratio,planned_core_w,planned_core_h,grid_w,grid_h,area_mwta,delay_ns,power_w,adp,adp_reduction_pct_vs_baseline,vtr_success,vtr_seconds,dsp_coords,bram_coords,note
fifo,0.3,2,6,4,13,68601.3,2.06275,0.01048,1482.9968349059998,29.9398434233068,True,0.64,[],"[[2, 1]]",
fifo,0.4,2,6,4,10,49754.3,2.10196,0.009933,1038.808520535324,50.924313600088745,True,0.64,[],"[[2, 1]]",
fifo,0.5,3,6,4,8,41804.3,1.90864,0.0106,845.7672070112001,60.04402601817216,True,0.63,[],"[[2, 1]]",
fifo,0.9,5,6,7,8,94358.0,1.93167,0.0116,2114.3148071759997,0.11494093811694053,True,0.62,[],"[[2, 1]]",
fifo,0.6,4,6,5,8,47741.5,2.06477,0.01012,997.5811955846002,52.871986564251884,True,0.63,[],"[[2, 1]]",
fifo,0.8,5,6,6,8,76844.4,1.9916,0.01088,1665.1111805952,21.33634591506287,True,0.63,[],"[[2, 1]]",
fifo,0.2,2,8,4,20,112475.0,2.0264,0.01147,2614.2348298,-23.5024223875988,True,0.7,[],"[[2, 1]]",
fifo,1.0,6,6,8,8,99501.1,1.93255,0.01197,2301.7214841358505,-8.738578383222094,True,0.67,[],"[[2, 1]]",
fifo,0.7,4,6,6,9,79472.1,2.07126,0.01075,1769.5293548445002,16.403392947687117,True,0.72,[],"[[2, 1]]",
fifo,0.1,2,15,4,40,238140.0,2.00695,0.01376,6576.38660448,-210.6835189219678,True,0.84,[],"[[2, 1]]",
fifo,1.1,7,6,9,8,115160.0,1.97816,0.01197,2726.8247200319997,-28.821425876305895,True,0.63,[],"[[2, 1]]",
fifo,1.2,7,6,10,8,130709.0,1.94977,0.01251,3188.2046114943,-50.61806540806548,True,0.63,[],"[[2, 1]]",
fifo,1.5,9,6,12,8,181296.0,1.97452,0.01296,4639.3246098432,-119.1722874420854,True,0.67,[],"[[2, 1]]",
fifo,1.7,10,6,13,8,177364.0,1.97374,0.01328,4648.935195660801,-119.62631345975896,True,0.67,[],"[[2, 1]]",
fifo,1.4,8,6,11,8,194819.0,1.93045,0.01307,4915.4745848485,-132.21824278881246,True,0.73,[],"[[2, 1]]",
fifo,1.3,8,6,10,8,130709.0,1.94977,0.01251,3188.2046114943,-50.61806540806548,True,0.74,[],"[[2, 1]]",
fifo,1.6,10,6,12,8,181296.0,1.97452,0.01296,4639.3246098432,-119.1722874420854,True,0.72,[],"[[2, 1]]",
fifo,1.8,11,6,14,8,192913.0,1.99188,0.01348,5179.8186860112,-144.70646169910967,True,0.71,[],"[[2, 1]]",
fifo,1.9,11,6,15,8,208463.0,1.97374,0.01387,5706.8359336694,-169.6039598059696,True,0.71,[],"[[2, 1]]",
fifo,2.0,12,6,15,8,208463.0,1.97374,0.01387,5706.8359336694,-169.6039598059696,True,0.82,[],"[[2, 1]]",
ch_intrinsics,0.1,3,26,4,40,291193.0,2.05664,0.01089,6521.7941778528,19.8912483348316,True,1.08,[],"[[2, 1]]",
ch_intrinsics,0.5,6,13,8,16,274377.0,1.95671,0.01148,6163.339001811601,24.294238661955475,True,1.07,[],"[[2, 1]]",
ch_intrinsics,0.2,4,19,6,30,443813.0,1.95182,0.0134,11607.657401444001,-42.57962131714778,True,1.22,[],"[[2, 1]]",
ch_intrinsics,0.3,5,16,7,23,376228.0,2.01517,0.01235,9363.317727686,-15.011862403823994,True,1.17,[],"[[2, 1]]",
ch_intrinsics,0.6,7,11,9,15,306321.0,2.01973,0.01133,7009.709132028901,13.898072709855988,True,1.12,[],"[[2, 1]]",
ch_intrinsics,0.4,6,14,7,18,288097.0,2.02062,0.01101,6409.301507141401,21.27302260988822,True,1.17,[],"[[2, 1]]",
ch_intrinsics,0.9,9,10,11,12,301370.0,1.953,0.01162,6839.2485882,15.991880180915247,True,1.17,[],"[[2, 1]]",
ch_intrinsics,0.8,8,10,10,13,259554.0,1.9914,0.01131,5845.865700636,28.193838856417702,True,1.32,[],"[[2, 1]]",
ch_intrinsics,1.0,9,9,11,11,272682.0,1.91409,0.01142,5960.5306967196,26.785381391270764,True,1.12,[],"[[2, 1]]",
ch_intrinsics,0.7,8,11,9,13,250644.0,2.00313,0.01102,5532.8391232344,32.03881888335844,True,1.37,[],"[[2, 1]]",
ch_intrinsics,1.1,10,9,12,11,289525.0,1.98134,0.01193,6843.6142395550005,15.938255845231355,True,1.18,[],"[[2, 1]]",
ch_intrinsics,1.2,10,8,12,10,259118.0,2.02948,0.0111,5837.210264904,28.300155635619852,True,1.12,[],"[[2, 1]]",
ch_intrinsics,1.5,12,8,13,9,272435.0,2.01147,0.01095,6000.543382477501,26.2938960393225,True,1.08,[],"[[2, 1]]",
ch_intrinsics,1.3,10,8,13,10,283853.0,1.89779,0.01203,6480.481419986101,20.398702782226664,True,1.12,[],"[[2, 1]]",
ch_intrinsics,1.4,11,8,13,9,272435.0,2.01147,0.01095,6000.543382477501,26.2938960393225,True,1.13,[],"[[2, 1]]",
ch_intrinsics,1.6,11,7,14,9,272468.0,1.98222,0.01162,6275.863450315201,22.912074052706384,True,1.12,[],"[[2, 1]]",
ch_intrinsics,1.7,12,7,15,9,378770.0,1.95965,0.01203,8929.347264915,-9.681299818730881,True,1.27,[],"[[2, 1]]",
ch_intrinsics,1.9,13,7,15,8,277665.0,1.95538,0.01113,6042.928741100999,25.773266581290937,True,1.22,[],"[[2, 1]]",
ch_intrinsics,1.8,13,7,15,8,277665.0,1.95538,0.01113,6042.928741100999,25.773266581290937,True,1.27,[],"[[2, 1]]",
ch_intrinsics,2.0,14,7,15,8,277665.0,1.95538,0.01113,6042.928741100999,25.773266581290937,True,1.27,[],"[[2, 1]]",
spree,0.5,9,18,10,20,759553.0,10.3629,0.01005,79105.276426185,-5.093971138914228,True,4.83,"[[6, 1]]","[[2, 1], [2, 7], [2, 13]]",
spree,0.9,11,12,13,14,667531.0,10.7014,0.009387,67056.1869767958,10.913641956602937,True,4.73,"[[6, 1]]","[[2, 1], [2, 7], [10, 1]]",
spree,0.7,10,14,12,17,813077.0,10.4542,0.01003,85255.697821202,-13.265008998610266,True,4.98,"[[6, 1]]","[[2, 1], [2, 7], [10, 1]]",
spree,0.6,10,16,12,20,1006560.0,10.4631,0.01084,114164.03922624001,-51.67069487128223,True,5.53,"[[6, 1]]","[[2, 1], [2, 7], [10, 1]]",
spree,0.4,7,18,8,20,688252.0,10.7558,0.009211,68186.27763619761,9.41227920927275,True,5.88,"[[6, 1]]","[[2, 1], [2, 7], [2, 13]]",
spree,1.0,12,12,14,14,752637.0,10.1721,0.009966,76298.6877168582,-1.365325388058117,True,5.63,"[[6, 1]]","[[2, 1], [2, 7], [10, 1]]",
spree,0.3,6,19,8,27,924992.0,10.4345,0.01042,100572.05843008001,-33.61329968797581,True,6.29,"[[6, 1]]","[[2, 1], [2, 7], [2, 13]]",
spree,0.2,6,28,8,40,1377400.0,10.4647,0.01237,178302.14213860003,-136.88028190389971,True,7.03,"[[6, 1]]","[[2, 1], [2, 7], [2, 13]]",
spree,0.1,6,55,8,80,2901320.0,10.49,0.01853,563957.711204,-649.2364365877186,True,7.18,"[[6, 1]]","[[2, 1], [2, 7], [2, 13]]",
spree,0.8,10,12,12,15,729128.0,10.4076,0.00965,73228.76032752001,2.7131744924741836,True,6.89,"[[6, 1]]","[[2, 1], [2, 7], [10, 1]]",
spree,1.1,13,12,15,14,843773.0,10.3231,0.01029,89629.532949327,-19.075793354448532,True,5.18,"[[6, 1]]","[[2, 1], [2, 7], [10, 1]]",
spree,1.4,17,12,19,14,1023820.0,10.5626,0.01116,120686.48463312,-60.33597891191656,True,5.94,"[[6, 1]]","[[2, 1], [2, 7], [10, 1]]",
spree,1.5,18,12,21,14,1142730.0,10.4283,0.01184,141094.09810656,-87.44816710322019,True,5.78,"[[6, 1]]","[[2, 1], [2, 7], [10, 1]]",
spree,1.6,18,11,20,13,1068730.0,10.4053,0.01137,126439.58777853001,-67.97916636082333,True,6.13,"[[6, 1]]","[[2, 1], [10, 1], [18, 1]]",
spree,1.2,14,12,17,14,971645.0,10.4708,0.01081,109979.86403746,-46.111880005877765,True,7.29,"[[6, 1]]","[[2, 1], [2, 7], [10, 1]]",
spree,1.3,16,12,18,14,964427.0,10.5893,0.01087,111011.03625405699,-47.48182633646692,True,7.23,"[[6, 1]]","[[2, 1], [2, 7], [10, 1]]",
spree,1.7,19,11,20,12,907753.0,10.0952,0.011,100803.4289416,-33.92068305048472,True,6.74,"[[6, 1]]","[[2, 1], [10, 1], [18, 1]]",
spree,2.0,18,9,20,10,786251.0,10.2809,0.01019,82369.51896112101,-9.430625105063903,True,5.93,"[[6, 1]]","[[2, 1], [10, 1], [18, 1]]",
spree,1.9,19,10,20,11,820441.0,10.4754,0.01034,88866.588715476,-18.06219675362309,True,6.43,"[[6, 1]]","[[2, 1], [10, 1], [18, 1]]",
spree,1.8,18,10,20,11,820441.0,10.4754,0.01034,88866.588715476,-18.06219675362309,True,6.53,"[[6, 1]]","[[2, 1], [10, 1], [18, 1]]",
boundtop,0.1,3,26,4,40,377528.0,2.92062,0.01148,12658.029698092801,38.10654071668619,True,5.98,[],"[[2, 1]]",
