circuit,split,source_suite,num_luts,num_ffs,num_clbs_packed,num_dsp,num_bram,num_io,num_nets,baseline_channel_width,source
fifo,train,,36,25,4,0,1,29,81,26,"runs/fifo_traditional/vpr.out 'Circuit Statistics' (.names=LUTs incl. 0-LUT, .latch=FFs, Nets = pre-pack atom nets) and min-W search result; relaxed routing W used for delay/power = 34 (vpr_stdout.log); counts clb/dsp/bram/io from baselines/fifo_traditional_resources.txt; suite: not found in VTR 22a09d39 tree; nearest file libs/EXTERNAL/yosys/docs/source/code_examples/fifo/fifo.v differs"
ch_intrinsics,train,VTR,155,82,68,0,1,229,344,44,"runs/ch_intrinsics_traditional/vpr.out 'Circuit Statistics' (.names=LUTs incl. 0-LUT, .latch=FFs, Nets = pre-pack atom nets) and min-W search result; relaxed routing W used for delay/power = 58 (vpr_stdout.log); counts clb/dsp/bram/io from baselines/ch_intrinsics_traditional_resources.txt; suite: vtr_flow/benchmarks/verilog/ch_intrinsics.v (identical)"
spree,train,VTR,739,200,60,1,3,77,1128,62,"runs/spree_traditional/vpr.out 'Circuit Statistics' (.names=LUTs incl. 0-LUT, .latch=FFs, Nets = pre-pack atom nets) and min-W search result; relaxed routing W used for delay/power = 80 (vpr_stdout.log); counts clb/dsp/bram/io from baselines/spree_traditional_resources.txt; suite: vtr_flow/benchmarks/verilog/spree.v exists but repo copy is NOT byte-identical"
boundtop,train,VTR,530,344,46,0,1,388,1087,34,"runs/boundtop_traditional/vpr.out 'Circuit Statistics' (.names=LUTs incl. 0-LUT, .latch=FFs, Nets = pre-pack atom nets) and min-W search result; relaxed routing W used for delay/power = 44 (vpr_stdout.log); counts clb/dsp/bram/io from baselines/boundtop_traditional_resources.txt; suite: vtr_flow/benchmarks/verilog/boundtop.v (identical)"
mmc_core,train,VTR-other,653,303,128,0,1,249,1050,42,"runs/mmc_core_traditional/vpr.out 'Circuit Statistics' (.names=LUTs incl. 0-LUT, .latch=FFs, Nets = pre-pack atom nets) and min-W search result; relaxed routing W used for delay/power = 54 (vpr_stdout.log); counts clb/dsp/bram/io from baselines/mmc_core_traditional_resources.txt; suite: vtr_flow/benchmarks/ultraembedded/mmc_core.v (identical)"
diffeq1,train,VTR,483,193,37,5,0,258,998,44,"runs/diffeq1_traditional/vpr.out 'Circuit Statistics' (.names=LUTs incl. 0-LUT, .latch=FFs, Nets = pre-pack atom nets) and min-W search result; relaxed routing W used for delay/power = 58 (vpr_stdout.log); counts clb/dsp/bram/io from baselines/diffeq1_traditional_resources.txt; suite: vtr_flow/benchmarks/verilog/diffeq1.v (identical)"
diffeq2,train,VTR,285,96,27,5,0,162,607,42,"runs/diffeq2_traditional/vpr.out 'Circuit Statistics' (.names=LUTs incl. 0-LUT, .latch=FFs, Nets = pre-pack atom nets) and min-W search result; relaxed routing W used for delay/power = 54 (vpr_stdout.log); counts clb/dsp/bram/io from baselines/diffeq2_traditional_resources.txt; suite: vtr_flow/benchmarks/verilog/diffeq2.v (identical)"
raygentop,train,VTR,1297,885,121,6,1,540,2597,54,"runs/raygentop_traditional/vpr.out 'Circuit Statistics' (.names=LUTs incl. 0-LUT, .latch=FFs, Nets = pre-pack atom nets) and min-W search result; relaxed routing W used for delay/power = 70 (vpr_stdout.log); counts clb/dsp/bram/io from baselines/raygentop_traditional_resources.txt; suite: vtr_flow/benchmarks/verilog/raygentop.v (identical)"
mkSMAdapter4B,train,VTR,1252,632,156,0,5,398,2230,44,"runs/mkSMAdapter4B_traditional/vpr.out 'Circuit Statistics' (.names=LUTs incl. 0-LUT, .latch=FFs, Nets = pre-pack atom nets) and min-W search result; relaxed routing W used for delay/power = 58 (vpr_stdout.log); counts clb/dsp/bram/io from baselines/mkSMAdapter4B_traditional_resources.txt; suite: vtr_flow/benchmarks/verilog/mkSMAdapter4B.v exists but repo copy is NOT byte-identical"
or1200,train,VTR,2698,667,245,1,2,779,3878,72,"runs/or1200_traditional/vpr.out 'Circuit Statistics' (.names=LUTs incl. 0-LUT, .latch=FFs, Nets = pre-pack atom nets) and min-W search result; relaxed routing W used for delay/power = 94 (vpr_stdout.log); counts clb/dsp/bram/io from baselines/or1200_traditional_resources.txt; suite: vtr_flow/benchmarks/verilog/or1200.v exists but repo copy is NOT byte-identical"
mkPktMerge,train,VTR,186,16,29,0,15,467,972,36,"runs/mkPktMerge_traditional/vpr.out 'Circuit Statistics' (.names=LUTs incl. 0-LUT, .latch=FFs, Nets = pre-pack atom nets) and min-W search result; relaxed routing W used for delay/power = 46 (vpr_stdout.log); counts clb/dsp/bram/io from baselines/mkPktMerge_traditional_resources.txt; suite: vtr_flow/benchmarks/verilog/mkPktMerge.v exists but repo copy is NOT byte-identical"
