circuit,seed,best_adp,adp_reduction_pct,generations_run,vtr_calls_reported,vtr_runs_executed_cache_misses,cache_hits,wall_clock_hours,best_aspect_ratio,best_grid_w,best_grid_h,stop_reason,source
custom_macbuf,7,17446.082552064,60.79814816807424,100,800,800,0,,1.0,,,early_stop,"~/workspace/vtr_exp/ga_output_custom_macbuf_scratch_seed7.txt (per-generation best-so-far); ~/workspace/vtr_exp/runs/ga_custom_macbuf_scratch_seed7.log (8 individuals/generation, 800 'OK (took' VTR completions, 'Breaking condition' line; last improvement at generation 49); baseline baselines/custom_macbuf_traditional_metric.txt; GA has no cache (ga_agent.py fitness_function runs VTR for every individual)"
custom_macbuf,42,14242.5553620069,67.99656637281363,103,824,824,0,,1.0,,,early_stop,"~/workspace/vtr_exp/ga_output_custom_macbuf_scratch_seed42.txt (per-generation best-so-far); ~/workspace/vtr_exp/runs/ga_custom_macbuf_scratch_seed42.log (8 individuals/generation, 824 'OK (took' VTR completions, 'Breaking condition' line; last improvement at generation 52); baseline baselines/custom_macbuf_traditional_metric.txt; GA has no cache (ga_agent.py fitness_function runs VTR for every individual)"
custom_macbuf,123,14603.997552612,67.1843953218271,70,560,560,0,,1.0,,,early_stop,"~/workspace/vtr_exp/ga_output_custom_macbuf_scratch_seed123.txt (per-generation best-so-far); ~/workspace/vtr_exp/runs/ga_custom_macbuf_scratch_seed123.log (8 individuals/generation, 560 'OK (took' VTR completions, 'Breaking condition' line; last improvement at generation 19); baseline baselines/custom_macbuf_traditional_metric.txt; GA has no cache (ga_agent.py fitness_function runs VTR for every individual)"
mkDelayWorker32B,7,6557133.9947124,22.635566997718584,82,656,656,0,,1.1,,,early_stop,"~/workspace/vtr_exp/ga_output_mkDelayWorker32B_scratch_seed7.txt (per-generation best-so-far); ~/workspace/vtr_exp/runs/ga_mkDelayWorker32B_scratch_seed7.log (8 individuals/generation, 656 'OK (took' VTR completions, 'Breaking condition' line; last improvement at generation 31); baseline baselines/mkDelayWorker32B_traditional_metric.txt; GA has no cache (ga_agent.py fitness_function runs VTR for every individual)"
mkDelayWorker32B,42,7215815.257354619,14.864107324234036,127,1016,1016,0,,1.0,,,early_stop,"~/workspace/vtr_exp/ga_output_mkDelayWorker32B_scratch_seed42.txt (per-generation best-so-far); ~/workspace/vtr_exp/runs/ga_mkDelayWorker32B_scratch_seed42.log (8 individuals/generation, 1016 'OK (took' VTR completions, 'Breaking condition' line; last improvement at generation 76); baseline baselines/mkDelayWorker32B_traditional_metric.txt; GA has no cache (ga_agent.py fitness_function runs VTR for every individual)"
mkDelayWorker32B,123,7097672.8641033005,16.258011928713863,71,568,568,0,,1.0,,,early_stop,"~/workspace/vtr_exp/ga_output_mkDelayWorker32B_scratch_seed123.txt (per-generation best-so-far); ~/workspace/vtr_exp/runs/ga_mkDelayWorker32B_scratch_seed123.log (8 individuals/generation, 568 'OK (took' VTR completions, 'Breaking condition' line; last improvement at generation 20); baseline baselines/mkDelayWorker32B_traditional_metric.txt; GA has no cache (ga_agent.py fitness_function runs VTR for every individual)"
lightweight_cipher,7,20051.0801549262,43.627605183555374,88,704,704,0,,1.6,,,early_stop,"~/workspace/vtr_exp/ga_output_lightweight_cipher_scratch_seed7.txt (per-generation best-so-far); ~/workspace/vtr_exp/runs/ga_lightweight_cipher_scratch_seed7.log (8 individuals/generation, 704 'OK (took' VTR completions, 'Breaking condition' line; last improvement at generation 37); baseline baselines/lightweight_cipher_traditional_metric.txt; GA has no cache (ga_agent.py fitness_function runs VTR for every individual)"
lightweight_cipher,42,20208.834079552,43.18408959964981,59,472,472,0,,0.5,,,early_stop,"~/workspace/vtr_exp/ga_output_lightweight_cipher_scratch_seed42.txt (per-generation best-so-far); ~/workspace/vtr_exp/runs/ga_lightweight_cipher_scratch_seed42.log (8 individuals/generation, 472 'OK (took' VTR completions, 'Breaking condition' line; last improvement at generation 8); baseline baselines/lightweight_cipher_traditional_metric.txt; GA has no cache (ga_agent.py fitness_function runs VTR for every individual)"
lightweight_cipher,123,19353.162879390602,45.58975724228345,69,552,552,0,,0.5,,,early_stop,"~/workspace/vtr_exp/ga_output_lightweight_cipher_scratch_seed123.txt (per-generation best-so-far); ~/workspace/vtr_exp/runs/ga_lightweight_cipher_scratch_seed123.log (8 individuals/generation, 552 'OK (took' VTR completions, 'Breaking condition' line; last improvement at generation 18); baseline baselines/lightweight_cipher_traditional_metric.txt; GA has no cache (ga_agent.py fitness_function runs VTR for every individual)"
reduction_layer,7,10924471.106287202,6.019546107052796,89,712,712,0,,1.0,,,early_stop,"~/workspace/vtr_exp/ga_output_reduction_layer_scratch_seed7.txt (per-generation best-so-far); ~/workspace/vtr_exp/runs/ga_reduction_layer_scratch_seed7_v2.log (8 individuals/generation, 712 'OK (took' VTR completions, 'Breaking condition' line; last improvement at generation 38); baseline baselines/reduction_layer_traditional_metric.txt; GA has no cache (ga_agent.py fitness_function runs VTR for every individual)"
reduction_layer,42,10756175.130624,7.467353696756746,111,888,888,0,,1.0,,,early_stop,"~/workspace/vtr_exp/ga_output_reduction_layer_scratch_seed42.txt (per-generation best-so-far); ~/workspace/vtr_exp/runs/ga_reduction_layer_scratch_seed42_v2.log (8 individuals/generation, 888 'OK (took' VTR completions, 'Breaking condition' line; last improvement at generation 60); baseline baselines/reduction_layer_traditional_metric.txt; GA has no cache (ga_agent.py fitness_function runs VTR for every individual)"
reduction_layer,123,10686348.024904799,8.068058575343004,74,592,592,0,,1.0,,,early_stop,"~/workspace/vtr_exp/ga_output_reduction_layer_scratch_seed123.txt (per-generation best-so-far); ~/workspace/vtr_exp/ga_run_reduction_layer_seed123_stdout.log (8 individuals/generation, 592 'OK (took' VTR completions, 'Breaking condition' line; last improvement at generation 23); baseline baselines/reduction_layer_traditional_metric.txt; GA has no cache (ga_agent.py fitness_function runs VTR for every individual)"
arm_core,7,9495903.652102562,17.200184482804527,140,1120,1120,0,,1.0,,,early_stop,"~/workspace/vtr_exp/ga_output_scratch_seed7.txt (per-generation best-so-far); ~/workspace/vtr_exp/runs/ga_arm_core_scratch_seed7.log (8 individuals/generation, 1120 'OK (took' VTR completions, 'Breaking condition' line; last improvement at generation 89); baseline baselines/arm_core_traditional_metric.txt; GA has no cache (ga_agent.py fitness_function runs VTR for every individual)"
arm_core,42,9659306.9791008,15.775384292529395,53,424,424,0,,1.0,,,early_stop,"~/workspace/vtr_exp/ga_output_arm_core_scratch_seed42.txt (per-generation best-so-far); ~/workspace/vtr_exp/runs/ga_arm_core_scratch_seed42.log (8 individuals/generation, 424 'OK (took' VTR completions, 'Breaking condition' line; last improvement at generation 2); baseline baselines/arm_core_traditional_metric.txt; GA has no cache (ga_agent.py fitness_function runs VTR for every individual)"
arm_core,123,9097987.057824,20.66983011154892,83,664,664,0,,0.9,,,early_stop,"~/workspace/vtr_exp/ga_output_arm_core_scratch_seed123.txt (per-generation best-so-far); ~/workspace/vtr_exp/ga_run_arm_core_seed123_stdout.log (8 individuals/generation, 664 'OK (took' VTR completions, 'Breaking condition' line; last improvement at generation 32); baseline baselines/arm_core_traditional_metric.txt; GA has no cache (ga_agent.py fitness_function runs VTR for every individual)"
softmax,7,3002115.014829645,16.10745207641125,61,488,488,0,,1.0,,,early_stop,"~/workspace/vtr_exp/ga_output_softmax_scratch_seed7.txt (per-generation best-so-far); ~/workspace/vtr_exp/runs/ga_softmax_scratch_seed7.log (8 individuals/generation, 488 'OK (took' VTR completions, 'Breaking condition' line; last improvement at generation 10); baseline baselines/softmax_traditional_metric.txt; GA has no cache (ga_agent.py fitness_function runs VTR for every individual)"
softmax,42,2985430.3630623785,16.573696021449848,105,840,840,0,,1.3,,,early_stop,"~/workspace/vtr_exp/ga_output_softmax_scratch_seed42.txt (per-generation best-so-far); ~/workspace/vtr_exp/runs/ga_softmax_scratch_seed42.log (8 individuals/generation, 840 'OK (took' VTR completions, 'Breaking condition' line; last improvement at generation 54); baseline baselines/softmax_traditional_metric.txt; GA has no cache (ga_agent.py fitness_function runs VTR for every individual)"
softmax,123,3071718.97624596,14.162405454298005,128,1024,1024,0,,1.0,,,early_stop,"~/workspace/vtr_exp/ga_output_softmax_scratch_seed123.txt (per-generation best-so-far); ~/workspace/vtr_exp/runs/ga_softmax_scratch_seed123.log (8 individuals/generation, 1024 'OK (took' VTR completions, 'Breaking condition' line; last improvement at generation 77); baseline baselines/softmax_traditional_metric.txt; GA has no cache (ga_agent.py fitness_function runs VTR for every individual)"
