circuit,seed,rollout_seconds_policy_only,vtr_seconds,source
custom_macbuf,7,0.0156,,"NOT logged originally. rollout time measured in Tier C (data_export/tools/c345.py timing: CPU, torch, 2nd rollout after warm-up, excludes the terminal VTR call) -> data_export/logs/det_actions_and_timing.json; vtr_seconds not measured for this seed"
custom_macbuf,42,0.0155,1.57,"NOT logged originally. rollout time measured in Tier C (data_export/tools/c345.py timing: CPU, torch, 2nd rollout after warm-up, excludes the terminal VTR call) -> data_export/logs/det_actions_and_timing.json; vtr_seconds = full VTR flow of this exact floorplan, VPR seed 1, from vpr_seed_noise.csv (C4)"
custom_macbuf,123,0.0122,,"NOT logged originally. rollout time measured in Tier C (data_export/tools/c345.py timing: CPU, torch, 2nd rollout after warm-up, excludes the terminal VTR call) -> data_export/logs/det_actions_and_timing.json; vtr_seconds not measured for this seed"
mkDelayWorker32B,7,0.1601,,"NOT logged originally. rollout time measured in Tier C (data_export/tools/c345.py timing: CPU, torch, 2nd rollout after warm-up, excludes the terminal VTR call) -> data_export/logs/det_actions_and_timing.json; vtr_seconds not measured for this seed"
mkDelayWorker32B,42,0.1758,28.19,"NOT logged originally. rollout time measured in Tier C (data_export/tools/c345.py timing: CPU, torch, 2nd rollout after warm-up, excludes the terminal VTR call) -> data_export/logs/det_actions_and_timing.json; vtr_seconds = full VTR flow of this exact floorplan, VPR seed 1, from vpr_seed_noise.csv (C4)"
mkDelayWorker32B,123,0.2592,,"NOT logged originally. rollout time measured in Tier C (data_export/tools/c345.py timing: CPU, torch, 2nd rollout after warm-up, excludes the terminal VTR call) -> data_export/logs/det_actions_and_timing.json; vtr_seconds not measured for this seed"
lightweight_cipher,7,0.0065,,"NOT logged originally. rollout time measured in Tier C (data_export/tools/c345.py timing: CPU, torch, 2nd rollout after warm-up, excludes the terminal VTR call) -> data_export/logs/det_actions_and_timing.json; vtr_seconds not measured for this seed"
lightweight_cipher,42,0.0064,2.35,"NOT logged originally. rollout time measured in Tier C (data_export/tools/c345.py timing: CPU, torch, 2nd rollout after warm-up, excludes the terminal VTR call) -> data_export/logs/det_actions_and_timing.json; vtr_seconds = full VTR flow of this exact floorplan, VPR seed 1, from vpr_seed_noise.csv (C4)"
lightweight_cipher,123,0.0068,,"NOT logged originally. rollout time measured in Tier C (data_export/tools/c345.py timing: CPU, torch, 2nd rollout after warm-up, excludes the terminal VTR call) -> data_export/logs/det_actions_and_timing.json; vtr_seconds not measured for this seed"
reduction_layer,7,0.1458,,"NOT logged originally. rollout time measured in Tier C (data_export/tools/c345.py timing: CPU, torch, 2nd rollout after warm-up, excludes the terminal VTR call) -> data_export/logs/det_actions_and_timing.json; vtr_seconds not measured for this seed"
reduction_layer,42,0.103,142.16,"NOT logged originally. rollout time measured in Tier C (data_export/tools/c345.py timing: CPU, torch, 2nd rollout after warm-up, excludes the terminal VTR call) -> data_export/logs/det_actions_and_timing.json; vtr_seconds = full VTR flow of this exact floorplan, VPR seed 1, from vpr_seed_noise.csv (C4)"
reduction_layer,123,0.112,,"NOT logged originally. rollout time measured in Tier C (data_export/tools/c345.py timing: CPU, torch, 2nd rollout after warm-up, excludes the terminal VTR call) -> data_export/logs/det_actions_and_timing.json; vtr_seconds not measured for this seed"
arm_core,7,0.09,,"NOT logged originally. rollout time measured in Tier C (data_export/tools/c345.py timing: CPU, torch, 2nd rollout after warm-up, excludes the terminal VTR call) -> data_export/logs/det_actions_and_timing.json; vtr_seconds not measured for this seed"
arm_core,42,0.0823,181.11,"NOT logged originally. rollout time measured in Tier C (data_export/tools/c345.py timing: CPU, torch, 2nd rollout after warm-up, excludes the terminal VTR call) -> data_export/logs/det_actions_and_timing.json; vtr_seconds = full VTR flow of this exact floorplan, VPR seed 1, from vpr_seed_noise.csv (C4)"
arm_core,123,0.0901,,"NOT logged originally. rollout time measured in Tier C (data_export/tools/c345.py timing: CPU, torch, 2nd rollout after warm-up, excludes the terminal VTR call) -> data_export/logs/det_actions_and_timing.json; vtr_seconds not measured for this seed"
softmax,7,0.0328,,"NOT logged originally. rollout time measured in Tier C (data_export/tools/c345.py timing: CPU, torch, 2nd rollout after warm-up, excludes the terminal VTR call) -> data_export/logs/det_actions_and_timing.json; vtr_seconds not measured for this seed"
softmax,42,0.0298,188.43,"NOT logged originally. rollout time measured in Tier C (data_export/tools/c345.py timing: CPU, torch, 2nd rollout after warm-up, excludes the terminal VTR call) -> data_export/logs/det_actions_and_timing.json; vtr_seconds = full VTR flow of this exact floorplan, VPR seed 1, from vpr_seed_noise.csv (C4)"
softmax,123,0.0228,,"NOT logged originally. rollout time measured in Tier C (data_export/tools/c345.py timing: CPU, torch, 2nd rollout after warm-up, excludes the terminal VTR call) -> data_export/logs/det_actions_and_timing.json; vtr_seconds not measured for this seed"
