circuit,split,seed,baseline_area_mwta,baseline_delay_ns,baseline_power_w,baseline_adp,policy_area_mwta,policy_delay_ns,policy_power_w,policy_adp,adp_reduction_pct,policy_aspect_ratio,policy_grid_w,policy_grid_h,baseline_grid_w,baseline_grid_h,how_obtained,source
fifo,train,7,94183.3,1.93748,0.0116,2116.7478169744,57149.1,1.9194,0.01124,1232.9378837496,41.75319923032139,,,,8,8,final_checkpoint_deterministic,"runs/inpool_seed7.json / runs/inpool_seed7.log (evaluate_held_out.py run with runs/multi11_long_seed7.zip, deterministic=True; aspect ratio/grid not recorded in that output)"
fifo,train,42,94183.3,1.93748,0.0116,2116.7478169744,66465.0,1.97625,0.01112,1460.6281935000002,30.996589117178473,,,,8,8,final_checkpoint_deterministic,"runs/inpool_seed42_v2.json / runs/inpool_seed42_v2.log (evaluate_held_out.py run with runs/multi11_long_seed42_v2.zip, deterministic=True; aspect ratio/grid not recorded in that output)"
fifo,train,123,94183.3,1.93748,0.0116,2116.7478169744,57175.6,2.21572,0.009782,1239.2338480658243,41.45576350057898,,,,8,8,final_checkpoint_deterministic,"runs/inpool_seed123.json / runs/inpool_seed123.log (evaluate_held_out.py run with runs/multi11_long_seed123.zip, deterministic=True; aspect ratio/grid not recorded in that output)"
ch_intrinsics,train,7,360780.0,1.88517,0.01197,8141.175642222,283901.0,2.04107,0.01129,6542.123880850299,19.641533749482715,,,,12,12,final_checkpoint_deterministic,"runs/inpool_seed7.json / runs/inpool_seed7.log (evaluate_held_out.py run with runs/multi11_long_seed7.zip, deterministic=True; aspect ratio/grid not recorded in that output)"
ch_intrinsics,train,42,360780.0,1.88517,0.01197,8141.175642222,250355.0,2.00224,0.01084,5433.775419968,33.25564195191665,,,,12,12,final_checkpoint_deterministic,"runs/inpool_seed42_v2.json / runs/inpool_seed42_v2.log (evaluate_held_out.py run with runs/multi11_long_seed42_v2.zip, deterministic=True; aspect ratio/grid not recorded in that output)"
ch_intrinsics,train,123,360780.0,1.88517,0.01197,8141.175642222,295532.0,2.07154,0.01105,6764.880270044002,16.905363950634044,,,,12,12,final_checkpoint_deterministic,"runs/inpool_seed123.json / runs/inpool_seed123.log (evaluate_held_out.py run with runs/multi11_long_seed123.zip, deterministic=True; aspect ratio/grid not recorded in that output)"
spree,train,7,735812.0,10.5897,0.00966,75270.99372962401,542769.0,10.6023,0.008577,49357.2022161399,34.42732748629218,,,,14,14,final_checkpoint_deterministic,"runs/inpool_seed7.json / runs/inpool_seed7.log (evaluate_held_out.py run with runs/multi11_long_seed7.zip, deterministic=True; aspect ratio/grid not recorded in that output)"
spree,train,42,735812.0,10.5897,0.00966,75270.99372962401,533113.0,10.3604,0.008654,47798.32600868081,36.498345989194675,,,,14,14,final_checkpoint_deterministic,"runs/inpool_seed42_v2.json / runs/inpool_seed42_v2.log (evaluate_held_out.py run with runs/multi11_long_seed42_v2.zip, deterministic=True; aspect ratio/grid not recorded in that output)"
spree,train,123,735812.0,10.5897,0.00966,75270.99372962401,553253.0,10.5986,0.008576,50287.153339980796,33.19185671891888,,,,14,14,final_checkpoint_deterministic,"runs/inpool_seed123.json / runs/inpool_seed123.log (evaluate_held_out.py run with runs/multi11_long_seed123.zip, deterministic=True; aspect ratio/grid not recorded in that output)"
boundtop,train,7,499687.0,2.5374,0.01613,20451.320453993994,525740.0,2.56228,0.01645,22159.681284439997,-8.35330331989577,,,,15,15,final_checkpoint_deterministic,"runs/inpool_seed7.json / runs/inpool_seed7.log (evaluate_held_out.py run with runs/multi11_long_seed7.zip, deterministic=True; aspect ratio/grid not recorded in that output)"
boundtop,train,42,499687.0,2.5374,0.01613,20451.320453993994,494759.0,2.50689,0.01638,20316.218660173796,0.6606018135802771,,,,15,15,final_checkpoint_deterministic,"runs/inpool_seed42_v2.json / runs/inpool_seed42_v2.log (evaluate_held_out.py run with runs/multi11_long_seed42_v2.zip, deterministic=True; aspect ratio/grid not recorded in that output)"
boundtop,train,123,499687.0,2.5374,0.01613,20451.320453993994,483446.0,2.57873,0.01636,20395.630870568802,0.27230311876667135,,,,15,15,final_checkpoint_deterministic,"runs/inpool_seed123.json / runs/inpool_seed123.log (evaluate_held_out.py run with runs/multi11_long_seed123.zip, deterministic=True; aspect ratio/grid not recorded in that output)"
mmc_core,train,7,589524.0,4.77659,0.01021,28750.486464663598,483430.0,4.84621,0.01031,24154.302026093002,15.986457982961905,,,,15,15,final_checkpoint_deterministic,"runs/inpool_seed7.json / runs/inpool_seed7.log (evaluate_held_out.py run with runs/multi11_long_seed7.zip, deterministic=True; aspect ratio/grid not recorded in that output)"
mmc_core,train,42,589524.0,4.77659,0.01021,28750.486464663598,473519.0,4.68255,0.01027,22771.428560731496,20.796371258903015,,,,15,15,final_checkpoint_deterministic,"runs/inpool_seed42_v2.json / runs/inpool_seed42_v2.log (evaluate_held_out.py run with runs/multi11_long_seed42_v2.zip, deterministic=True; aspect ratio/grid not recorded in that output)"
mmc_core,train,123,589524.0,4.77659,0.01021,28750.486464663598,471428.0,4.65656,0.01019,22369.4219026592,22.19463162770196,,,,15,15,final_checkpoint_deterministic,"runs/inpool_seed123.json / runs/inpool_seed123.log (evaluate_held_out.py run with runs/multi11_long_seed123.zip, deterministic=True; aspect ratio/grid not recorded in that output)"
diffeq1,train,7,694168.0,22.3395,0.007714,119623.82160170401,488695.0,21.7129,0.006365,67538.9237609075,43.54057339366474,,,,16,16,final_checkpoint_deterministic,"runs/inpool_seed7.json / runs/inpool_seed7.log (evaluate_held_out.py run with runs/multi11_long_seed7.zip, deterministic=True; aspect ratio/grid not recorded in that output)"
diffeq1,train,42,694168.0,22.3395,0.007714,119623.82160170401,505255.0,21.8997,0.006364,70417.233125154,41.134439460049045,,,,16,16,final_checkpoint_deterministic,"runs/inpool_seed42_v2.json / runs/inpool_seed42_v2.log (evaluate_held_out.py run with runs/multi11_long_seed42_v2.zip, deterministic=True; aspect ratio/grid not recorded in that output)"
diffeq1,train,123,694168.0,22.3395,0.007714,119623.82160170401,488803.0,22.0107,0.006267,67426.0024358907,43.63497041551611,,,,16,16,final_checkpoint_deterministic,"runs/inpool_seed123.json / runs/inpool_seed123.log (evaluate_held_out.py run with runs/multi11_long_seed123.zip, deterministic=True; aspect ratio/grid not recorded in that output)"
diffeq2,train,7,666210.0,17.948,0.007747,92631.94095876001,407307.0,17.5217,0.006259,44668.674536432096,51.77832389767293,,,,16,16,final_checkpoint_deterministic,"runs/inpool_seed7.json / runs/inpool_seed7.log (evaluate_held_out.py run with runs/multi11_long_seed7.zip, deterministic=True; aspect ratio/grid not recorded in that output)"
