circuit,seed,sample_index,aspect_ratio,area_mwta,delay_ns,power_w,adp,adp_reduction_pct,vtr_success,vtr_seconds,cached,grid_w,grid_h,dsp_coords,bram_coords
custom_macbuf,7,9,1.3,338570.0,13.731,0.005667,26345.34276489,40.80125320693677,True,2.07,False,13,10,"[[1, 5], [7, 3], [3, 1]]","[[2, 3]]"
custom_macbuf,7,6,1.2,553098.0,14.056,0.007267,56496.168661296,-26.94852419287626,True,2.34,False,17,14,"[[6, 6], [12, 9], [10, 6]]","[[7, 5]]"
custom_macbuf,7,12,0.6,801038.0,13.9227,0.008727,97328.84285221022,-118.70072350504459,True,2.71,False,14,23,"[[5, 3], [3, 6], [12, 9]]","[[6, 7]]"
custom_macbuf,7,3,1.7,631208.0,13.4455,0.007646,64890.89217594399,-45.81171060788494,True,2.96,False,20,12,"[[10, 7], [3, 2], [7, 1]]","[[2, 5]]"
custom_macbuf,7,5,0.6,800707.0,13.9387,0.0086,95983.00608374001,-115.67658938037341,True,3.11,False,14,23,"[[6, 1], [6, 6], [7, 2]]","[[12, 7]]"
custom_macbuf,7,14,1.8,876308.0,14.0782,0.008939,110279.00637397842,-147.80011530630063,True,3.11,False,25,14,"[[9, 9], [5, 8], [7, 4]]","[[3, 3]]"
custom_macbuf,7,8,1.0,444720.0,14.2047,0.006576,41541.342873984,6.655401670532475,True,3.38,False,14,14,"[[11, 3], [2, 7], [10, 9]]","[[3, 5]]"
custom_macbuf,7,11,1.9,998812.0,13.9643,0.00943,131526.90918138798,-195.54476715633348,True,3.74,False,26,14,"[[8, 2], [5, 7], [6, 8]]","[[10, 7]]"
custom_macbuf,7,4,1.7,769748.0,14.0726,0.008521,92302.50296060082,-107.40639246541197,True,3.83,False,23,14,"[[5, 7], [3, 9], [10, 2]]","[[4, 5]]"
custom_macbuf,7,7,1.6,733542.0,14.0726,0.00833,85989.283432836,-93.22040568177286,True,4.06,False,22,14,"[[7, 9], [4, 6], [12, 9]]","[[9, 3]]"
custom_macbuf,7,1,1.6,456048.0,13.7309,0.006607,41372.7002355024,7.034346554380831,True,4.4,False,17,11,"[[3, 5], [1, 6], [5, 5]]","[[11, 1]]"
custom_macbuf,7,2,0.6,875527.0,13.6631,0.008836,105699.8808588932,-137.51068789894697,True,4.34,False,14,23,"[[12, 1], [1, 1], [6, 5]]","[[11, 4]]"
custom_macbuf,7,16,1.1,546884.0,13.9976,0.00706,54044.74815750401,-21.440111454336915,True,2.29,False,15,14,"[[12, 6], [10, 9], [2, 8]]","[[4, 2]]"
custom_macbuf,7,10,0.3,1779700.0,14.3057,0.01368,348290.8066872,-682.6195111382287,True,4.43,False,14,47,"[[12, 6], [5, 8], [10, 3]]","[[7, 2]]"
custom_macbuf,7,0,1.9,877949.0,13.7761,0.00923,111634.20301044699,-150.84528132494242,True,4.66,False,26,14,"[[9, 5], [11, 9], [6, 6]]","[[8, 4]]"
custom_macbuf,42,3,1.6,311196.0,13.5447,0.005693,23996.3164336116,46.07958327979164,True,1.96,False,14,9,"[[2, 4], [11, 3], [6, 2]]","[[7, 2]]"
custom_macbuf,7,19,1.1,464646.0,13.9028,0.006466,41769.586723300796,6.142531142964853,True,2.91,False,14,13,"[[6, 7], [8, 2], [11, 7]]","[[9, 6]]"
custom_macbuf,42,1,1.8,876183.0,14.1057,0.008903,110033.7309572193,-147.2489743543356,True,3.06,False,25,14,"[[9, 6], [3, 8], [1, 9]]","[[2, 1]]"
custom_macbuf,42,4,1.1,481442.0,13.9855,0.006587,44351.635108417,0.3405937788536479,True,3.04,False,14,13,"[[3, 1], [12, 3], [10, 2]]","[[5, 4]]"
custom_macbuf,42,6,1.0,408391.0,14.0734,0.006321,36329.6308141074,18.36626933106478,True,2.65,False,13,13,"[[2, 1], [8, 2], [11, 8]]","[[3, 6]]"
custom_macbuf,42,2,1.1,425101.0,13.8322,0.006363,37414.9620981486,15.92749856068898,True,4.05,False,14,13,"[[9, 2], [9, 6], [8, 3]]","[[12, 5]]"
custom_macbuf,42,8,0.4,858977.0,13.751,0.009154,108125.15062295801,-142.96033916934462,True,3.25,False,12,30,"[[8, 9], [4, 8], [1, 7]]","[[10, 1]]"
custom_macbuf,42,9,2.0,806185.0,13.8273,0.008685,96814.83767159248,-117.54573900515553,True,3.3,False,25,13,"[[11, 8], [9, 1], [10, 2]]","[[6, 3]]"
custom_macbuf,7,15,0.1,4104270.0,14.0384,0.02849,1641519.26924832,-3588.541251612416,True,7.74,False,13,130,"[[11, 2], [8, 9], [2, 6]]","[[8, 3]]"
