circuit,split,seed,baseline_area_mwta,baseline_delay_ns,baseline_power_w,baseline_adp,policy_area_mwta,policy_delay_ns,policy_power_w,policy_adp,adp_reduction_pct,policy_aspect_ratio,policy_grid_w,policy_grid_h,baseline_grid_w,baseline_grid_h,how_obtained,source
fifo,train,7,94183.3,1.93748,0.0116,2116.7478169744,41804.3,1.98948,0.01013,842.50013407932,60.19837000311363,0.5,4,8,8,8,best_during_training,best_layout_coordinates_fifo_multi11_long_seed7.txt; baselines/fifo_traditional_metric.txt; baselines/fifo_traditional_resources.txt (fpga_size+2 IO ring)
fifo,train,42,94183.3,1.93748,0.0116,2116.7478169744,41804.3,1.98948,0.01013,842.50013407932,60.19837000311363,0.5,4,8,8,8,best_during_training,best_layout_coordinates_fifo_multi11_long_seed42_v2.txt; baselines/fifo_traditional_metric.txt; baselines/fifo_traditional_resources.txt (fpga_size+2 IO ring)
fifo,train,123,94183.3,1.93748,0.0116,2116.7478169744,44733.9,2.01999,0.01024,925.30719396864,56.28637542230989,0.4,4,10,8,8,best_during_training,best_layout_coordinates_fifo_multi11_long_seed123.txt; baselines/fifo_traditional_metric.txt; baselines/fifo_traditional_resources.txt (fpga_size+2 IO ring)
ch_intrinsics,train,7,360780.0,1.88517,0.01197,8141.175642222,240891.0,2.01731,0.01068,5189.965471882801,36.25041763051454,0.7,9,13,12,12,best_during_training,best_layout_coordinates_ch_intrinsics_multi11_long_seed7.txt; baselines/ch_intrinsics_traditional_metric.txt; baselines/ch_intrinsics_traditional_resources.txt (fpga_size+2 IO ring)
ch_intrinsics,train,42,360780.0,1.88517,0.01197,8141.175642222,240733.0,2.00313,0.01096,5285.1256574184,35.08154240023359,0.7,9,13,12,12,best_during_training,best_layout_coordinates_ch_intrinsics_multi11_long_seed42_v2.txt; baselines/ch_intrinsics_traditional_metric.txt; baselines/ch_intrinsics_traditional_resources.txt (fpga_size+2 IO ring)
ch_intrinsics,train,123,360780.0,1.88517,0.01197,8141.175642222,240891.0,2.01731,0.01068,5189.965471882801,36.25041763051454,0.7,9,13,12,12,best_during_training,best_layout_coordinates_ch_intrinsics_multi11_long_seed123.txt; baselines/ch_intrinsics_traditional_metric.txt; baselines/ch_intrinsics_traditional_resources.txt (fpga_size+2 IO ring)
spree,train,7,735812.0,10.5897,0.00966,75270.99372962401,520755.0,10.0315,0.008778,45855.86630278499,39.07896783254804,0.8,10,13,14,14,best_during_training,best_layout_coordinates_spree_multi11_long_seed7.txt; baselines/spree_traditional_metric.txt; baselines/spree_traditional_resources.txt (fpga_size+2 IO ring)
spree,train,42,735812.0,10.5897,0.00966,75270.99372962401,520670.0,10.1378,0.008715,46001.67716109,38.88525329381248,0.8,10,13,14,14,best_during_training,best_layout_coordinates_spree_multi11_long_seed42_v2.txt; baselines/spree_traditional_metric.txt; baselines/spree_traditional_resources.txt (fpga_size+2 IO ring)
spree,train,123,735812.0,10.5897,0.00966,75270.99372962401,520646.0,10.0326,0.008775,45835.62509799,39.105858941316576,0.8,10,13,14,14,best_during_training,best_layout_coordinates_spree_multi11_long_seed123.txt; baselines/spree_traditional_metric.txt; baselines/spree_traditional_resources.txt (fpga_size+2 IO ring)
boundtop,train,7,499687.0,2.5374,0.01613,20451.320453993994,402913.0,2.87016,0.0117,13530.169880136,33.84207190644428,0.1,4,40,15,15,best_during_training,best_layout_coordinates_boundtop_multi11_long_seed7.txt; baselines/boundtop_traditional_metric.txt; baselines/boundtop_traditional_resources.txt (fpga_size+2 IO ring)
