circuit,floorplan,vpr_seed,area_mwta,delay_ns,power_w,adp,vtr_seconds,vtr_success,aspect_ratio,grid_w,grid_h
custom_macbuf,policy_seed42,3,243685.0,13.0405,0.005332,16943.89226101,1.47,True,0.8,9,11
custom_macbuf,policy_seed42,1,256464.0,13.5217,0.005193,18008.437392878397,1.57,True,0.8,9,11
custom_macbuf,policy_seed42,2,243685.0,13.9507,0.005054,17181.458769293,1.62,True,0.8,9,11
custom_macbuf,policy_seed42,4,243685.0,13.3419,0.005271,17137.1853718065,1.67,True,0.8,9,11
custom_macbuf,baseline,1,488146.0,14.3481,0.006354,44503.210274000405,1.78,True,,14,14
custom_macbuf,baseline,4,447080.0,13.8931,0.006366,39541.308624168,1.93,True,,14,14
custom_macbuf,baseline,2,488146.0,14.0298,0.006451,44180.2589334108,1.93,True,,14,14
custom_macbuf,baseline,5,447080.0,13.8492,0.006397,39608.307049392,2.45,True,,14,14
custom_macbuf,policy_seed42,5,243685.0,13.7896,0.005108,17164.507797008,2.36,True,0.8,9,11
custom_macbuf,baseline,3,467360.0,14.0636,0.006444,42354.891834624,2.45,True,,14,14
mkDelayWorker32B,policy_seed42,4,3771980.0,6.51553,0.1554,3819180.15119676,24.23,True,0.9,34,38
mkDelayWorker32B,policy_seed42,3,3771980.0,6.90773,0.1473,3838022.1984154196,24.91,True,0.9,34,38
mkDelayWorker32B,policy_seed42,5,3771980.0,7.04348,0.1447,3844370.16540088,25.01,True,0.9,34,38
mkDelayWorker32B,policy_seed42,2,3771980.0,6.63358,0.1527,3820818.3371986803,26.88,True,0.9,34,38
lightweight_cipher,baseline,1,447080.0,3.55966,0.02235,35568.969919079995,2.82,True,,14,14
lightweight_cipher,baseline,2,447080.0,3.45182,0.02295,35417.35078452,3.12,True,,14,14
mkDelayWorker32B,policy_seed42,1,3771980.0,6.62671,0.153,3824360.0906273997,28.19,True,0.9,34,38
lightweight_cipher,baseline,3,467360.0,3.43697,0.02314,37169.835203488,3.92,True,,14,14
mkDelayWorker32B,baseline,2,6865840.0,7.81912,0.1574,8449991.747889921,32.05,True,,50,50
mkDelayWorker32B,baseline,1,6865840.0,7.95916,0.1551,8475644.09154144,32.25,True,,50,50
