circuit,vtr_runs_logged,vtr_seconds_median,vtr_seconds_min,vtr_seconds_max,source
fifo,0,,,,"no per-run VTR wall-clock logged for this circuit (training env runs VTR with silent=True and records no duration; baseline run dir output.txt has vpr_seconds only, VPR stage, not full flow)"
ch_intrinsics,0,,,,"no per-run VTR wall-clock logged for this circuit (training env runs VTR with silent=True and records no duration; baseline run dir output.txt has vpr_seconds only, VPR stage, not full flow)"
spree,0,,,,"no per-run VTR wall-clock logged for this circuit (training env runs VTR with silent=True and records no duration; baseline run dir output.txt has vpr_seconds only, VPR stage, not full flow)"
boundtop,0,,,,"no per-run VTR wall-clock logged for this circuit (training env runs VTR with silent=True and records no duration; baseline run dir output.txt has vpr_seconds only, VPR stage, not full flow)"
mmc_core,0,,,,"no per-run VTR wall-clock logged for this circuit (training env runs VTR with silent=True and records no duration; baseline run dir output.txt has vpr_seconds only, VPR stage, not full flow)"
diffeq1,0,,,,"no per-run VTR wall-clock logged for this circuit (training env runs VTR with silent=True and records no duration; baseline run dir output.txt has vpr_seconds only, VPR stage, not full flow)"
diffeq2,0,,,,"no per-run VTR wall-clock logged for this circuit (training env runs VTR with silent=True and records no duration; baseline run dir output.txt has vpr_seconds only, VPR stage, not full flow)"
raygentop,0,,,,"no per-run VTR wall-clock logged for this circuit (training env runs VTR with silent=True and records no duration; baseline run dir output.txt has vpr_seconds only, VPR stage, not full flow)"
mkSMAdapter4B,0,,,,"no per-run VTR wall-clock logged for this circuit (training env runs VTR with silent=True and records no duration; baseline run dir output.txt has vpr_seconds only, VPR stage, not full flow)"
or1200,0,,,,"no per-run VTR wall-clock logged for this circuit (training env runs VTR with silent=True and records no duration; baseline run dir output.txt has vpr_seconds only, VPR stage, not full flow)"
mkPktMerge,0,,,,"no per-run VTR wall-clock logged for this circuit (training env runs VTR with silent=True and records no duration; baseline run dir output.txt has vpr_seconds only, VPR stage, not full flow)"
custom_macbuf,2184,2.11,1.34,9.33,full run_vtr_flow.py wall-clock 'OK (took N seconds' lines in GA stdout logs ~/workspace/vtr_exp/runs/ga_custom_macbuf_scratch_seed7.log; ~/workspace/vtr_exp/runs/ga_custom_macbuf_scratch_seed42.log; ~/workspace/vtr_exp/runs/ga_custom_macbuf_scratch_seed123.log -- measured with 8 VTR flows running concurrently (GA population evaluated in parallel)
mkDelayWorker32B,2240,34.65,30.98,248.27,full run_vtr_flow.py wall-clock 'OK (took N seconds' lines in GA stdout logs ~/workspace/vtr_exp/runs/ga_mkDelayWorker32B_scratch_seed7.log; ~/workspace/vtr_exp/runs/ga_mkDelayWorker32B_scratch_seed42.log; ~/workspace/vtr_exp/runs/ga_mkDelayWorker32B_scratch_seed123.log -- measured with 8 VTR flows running concurrently (GA population evaluated in parallel)
lightweight_cipher,1728,2.64,1.96,9.17,full run_vtr_flow.py wall-clock 'OK (took N seconds' lines in GA stdout logs ~/workspace/vtr_exp/runs/ga_lightweight_cipher_scratch_seed7.log; ~/workspace/vtr_exp/runs/ga_lightweight_cipher_scratch_seed42.log; ~/workspace/vtr_exp/runs/ga_lightweight_cipher_scratch_seed123.log -- measured with 8 VTR flows running concurrently (GA population evaluated in parallel)
reduction_layer,2192,250.24,98.1,481.04,full run_vtr_flow.py wall-clock 'OK (took N seconds' lines in GA stdout logs ~/workspace/vtr_exp/runs/ga_reduction_layer_scratch_seed7_v2.log; ~/workspace/vtr_exp/runs/ga_reduction_layer_scratch_seed42_v2.log; ~/workspace/vtr_exp/ga_run_reduction_layer_seed123_stdout.log -- measured with 8 VTR flows running concurrently (GA population evaluated in parallel)
arm_core,2208,150.525,104.88,439.65,full run_vtr_flow.py wall-clock 'OK (took N seconds' lines in GA stdout logs ~/workspace/vtr_exp/runs/ga_arm_core_scratch_seed7.log; ~/workspace/vtr_exp/runs/ga_arm_core_scratch_seed42.log; ~/workspace/vtr_exp/ga_run_arm_core_seed123_stdout.log -- measured with 8 VTR flows running concurrently (GA population evaluated in parallel)
softmax,2352,208.305,191.37,529.15,full run_vtr_flow.py wall-clock 'OK (took N seconds' lines in GA stdout logs ~/workspace/vtr_exp/runs/ga_softmax_scratch_seed7.log; ~/workspace/vtr_exp/runs/ga_softmax_scratch_seed42.log; ~/workspace/vtr_exp/runs/ga_softmax_scratch_seed123.log -- measured with 8 VTR flows running concurrently (GA population evaluated in parallel)
