circuit,seed,step_index,step_kind,chosen_action,chosen_action_prob,top1_prob,entropy_over_legal_actions,n_legal_actions
custom_macbuf,7,0,aspect_ratio,7,0.9968282580375671,0.9968282580375671,0.025813369806132806,20
custom_macbuf,7,1,hblock,243,0.3296951949596405,0.3296951949596405,2.531583717889741,84
custom_macbuf,7,2,hblock,195,0.1541978120803833,0.1541978120803833,2.8517758060682423,99
custom_macbuf,7,3,hblock,7,0.15780290961265564,0.15780290961265564,2.7142694237385223,92
custom_macbuf,7,4,hblock,50,0.15614792704582214,0.15614792704582214,2.70233361556533,87
mkDelayWorker32B,7,0,aspect_ratio,8,0.9086596965789795,0.9086596965789795,0.4736612128504952,20
mkDelayWorker32B,7,1,hblock,875,0.06384962797164917,0.06384962797164917,6.80869572386945,2064
mkDelayWorker32B,7,2,hblock,782,0.030489744618535042,0.030489744618535042,7.0183638280793845,2053
mkDelayWorker32B,7,3,hblock,8,0.01886635273694992,0.01886635273694992,7.09381990891978,2042
mkDelayWorker32B,7,4,hblock,637,0.01644832268357277,0.01644832268357277,7.131461737491321,2031
mkDelayWorker32B,7,5,hblock,303,0.016420476138591766,0.016420476138591766,7.160256651969737,2020
mkDelayWorker32B,7,6,hblock,682,0.014561065472662449,0.014561065472662449,7.202104776921857,2009
mkDelayWorker32B,7,7,hblock,589,0.014653133228421211,0.014653133228421211,7.23421775853805,1998
mkDelayWorker32B,7,8,hblock,496,0.007649435196071863,0.007649435196071863,7.280882890651633,1987
mkDelayWorker32B,7,9,hblock,445,0.007685498800128698,0.007685498800128698,7.287467320960928,1976
mkDelayWorker32B,7,10,hblock,297,0.006611666176468134,0.006611666176468134,7.305198940814332,1965
mkDelayWorker32B,7,11,hblock,1024,0.0066334884613752365,0.0066334884613752365,7.317067419875021,1959
mkDelayWorker32B,7,12,hblock,65,0.0067039551213383675,0.0067039551213383675,7.32082896367055,1948
mkDelayWorker32B,7,13,hblock,834,0.006555282045155764,0.006555282045155764,7.324636350813674,1937
mkDelayWorker32B,7,14,hblock,401,0.006574991624802351,0.006574991624802351,7.3324011709347126,1926
mkDelayWorker32B,7,15,hblock,965,0.006495166104286909,0.006495166104286909,7.339500931513394,1915
mkDelayWorker32B,7,16,hblock,532,0.006532902363687754,0.006532902363687754,7.34685115277716,1904
mkDelayWorker32B,7,17,hblock,768,0.005742213688790798,0.005742213688790798,7.357427381291028,1894
mkDelayWorker32B,7,18,hblock,1012,0.005755589343607426,0.005755589343607426,7.361876395392001,1888
mkDelayWorker32B,7,19,hblock,578,0.005707242991775274,0.005707242991775274,7.368267525602181,1878
mkDelayWorker32B,7,20,hblock,257,0.005677786190062761,0.005677786190062761,7.380677513958593,1870
mkDelayWorker32B,7,21,hblock,387,0.0048778667114675045,0.0048778667114675045,7.3829636122577185,1859
mkDelayWorker32B,7,22,hblock,541,0.004923622589558363,0.004923622589558363,7.386610011518716,1850
mkDelayWorker32B,7,23,hblock,155,0.0047480384819209576,0.0047480384819209576,7.390369860542372,1841
mkDelayWorker32B,7,24,hblock,206,0.004417546559125185,0.004417546559125185,7.394046765206844,1830
mkDelayWorker32B,7,25,hblock,915,0.004445339553058147,0.004445339553058147,7.394530451837643,1819
mkDelayWorker32B,7,26,hblock,97,0.004437511321157217,0.004437511321157217,7.39743799896712,1810
mkDelayWorker32B,7,27,hblock,54,0.004207178484648466,0.004207178484648466,7.400125066995402,1803
mkDelayWorker32B,7,28,hblock,1073,0.004146052524447441,0.004146052524447441,7.401274362846213,1792
mkDelayWorker32B,7,29,hblock,149,0.003571105422452092,0.003571105422452092,7.400441033145514,1781
mkDelayWorker32B,7,30,hblock,730,0.0032315689604729414,0.0032315689604729414,7.404545800999672,1775
mkDelayWorker32B,7,31,hblock,353,0.003096937667578459,0.003096937667578459,7.402269104113623,1764
mkDelayWorker32B,7,32,hblock,436,0.0027737536001950502,0.0027737536001950502,7.4008081594128825,1753
mkDelayWorker32B,7,33,hblock,1116,0.0027742108795791864,0.0027742108795791864,7.400116173766095,1745
mkDelayWorker32B,7,34,hblock,867,0.0027274719905108213,0.0027274719905108213,7.396854617843191,1734
mkDelayWorker32B,7,35,hblock,394,0.0026032065507024527,0.0026032065507024527,7.395482529886692,1728
mkDelayWorker32B,7,36,hblock,724,0.0025348260533064604,0.0025348260533064604,7.396144903284625,1725
mkDelayWorker32B,7,37,hblock,241,0.00253676762804389,0.00253676762804389,7.395035601163732,1720
mkDelayWorker32B,7,38,hblock,1061,0.002497468376532197,0.002497468376532197,7.394559859170468,1713
mkDelayWorker32B,7,39,hblock,346,0.0024237458128482103,0.0024237458128482103,7.392888026090558,1702
mkDelayWorker32B,7,40,hblock,291,0.0023907809518277645,0.0023907809518277645,7.390468170478506,1695
mkDelayWorker32B,7,41,hblock,739,0.0023280687164515257,0.0023280687164515257,7.3906724911322215,1691
mkDelayWorker32B,7,42,hblock,486,0.0022969639394432306,0.0022969639394432306,7.387241786876286,1682
mkDelayWorker32B,7,43,hblock,818,0.0020235085394233465,0.0020235085394233465,7.383620442942313,1672
lightweight_cipher,7,0,aspect_ratio,7,0.9710199236869812,0.9710199236869812,0.1504134948848189,20
lightweight_cipher,7,1,hblock,243,0.41995769739151,0.41995769739151,2.307186500603813,84
