circuit,seed,variant,donor_circuit,aspect_ratio,grid_w,grid_h,area_mwta,delay_ns,power_w,adp,adp_reduction_pct,action_sequence_identical_to_control,n_actions_differing,permutation_changed,vtr_success,cached,vtr_seconds,source
custom_macbuf,7,control,,0.8,10,13,299970.0,13.7494,0.005637,23249.285178965998,47.75818410442031,True,0,,True,,,data_export/results_per_circuit_seed.csv (paper zero-shot eval; not re-run). vtr_seconds null: the original eval did not log it.
mkDelayWorker32B,7,control,,0.9,34,38,3189100.0,6.16933,0.1619,3185319.4080557004,62.41796642647371,True,0,,True,,,data_export/results_per_circuit_seed.csv (paper zero-shot eval; not re-run). vtr_seconds null: the original eval did not log it.
lightweight_cipher,7,control,,0.8,10,13,336305.0,3.58417,0.02059,24818.6566691915,30.223853190985402,True,0,,True,,,data_export/results_per_circuit_seed.csv (paper zero-shot eval; not re-run). vtr_seconds null: the original eval did not log it.
reduction_layer,7,control,,0.9,32,36,8209430.0,7.81703,0.1288,8265528.8443655195,28.89375193535369,True,0,,True,,,data_export/results_per_circuit_seed.csv (paper zero-shot eval; not re-run). vtr_seconds null: the original eval did not log it.
arm_core,7,control,,0.9,32,36,9071400.0,19.762,0.0595,10666505.9046,6.993083178723758,True,0,,True,,,data_export/results_per_circuit_seed.csv (paper zero-shot eval; not re-run). vtr_seconds null: the original eval did not log it.
softmax,7,control,,0.9,36,40,7429200.0,6.5186,0.06972,3376398.9831264005,5.648280594885477,True,0,,True,,,data_export/results_per_circuit_seed.csv (paper zero-shot eval; not re-run). vtr_seconds null: the original eval did not log it.
custom_macbuf,42,control,,0.8,9,11,256464.0,13.5217,0.005193,18008.437392878397,59.53452058401446,True,0,,True,,,data_export/results_per_circuit_seed.csv (paper zero-shot eval; not re-run). vtr_seconds null: the original eval did not log it.
mkDelayWorker32B,42,control,,0.9,34,38,3771980.0,6.62671,0.153,3824360.0906273997,54.87823639923658,True,0,,True,,,data_export/results_per_circuit_seed.csv (paper zero-shot eval; not re-run). vtr_seconds null: the original eval did not log it.
lightweight_cipher,42,control,,0.9,10,11,300614.0,3.55856,0.02004,21437.8492350336,39.72878808746763,True,0,,True,,,data_export/results_per_circuit_seed.csv (paper zero-shot eval; not re-run). vtr_seconds null: the original eval did not log it.
reduction_layer,42,control,,0.9,32,36,8855260.0,7.84714,0.1313,9123835.44877532,21.50995793041336,True,0,,True,,,data_export/results_per_circuit_seed.csv (paper zero-shot eval; not re-run). vtr_seconds null: the original eval did not log it.
arm_core,42,control,,0.9,32,36,8862920.0,19.4987,0.05851,10111430.11911604,11.833083069198413,True,0,,True,,,data_export/results_per_circuit_seed.csv (paper zero-shot eval; not re-run). vtr_seconds null: the original eval did not log it.
softmax,42,control,,0.9,36,40,7429290.0,6.44575,0.0707,3385635.3634372503,5.390174734836533,True,0,,True,,,data_export/results_per_circuit_seed.csv (paper zero-shot eval; not re-run). vtr_seconds null: the original eval did not log it.
custom_macbuf,123,control,,0.8,9,11,256780.0,13.6801,0.005183,18206.718412274,59.088977401455686,True,0,,True,,,data_export/results_per_circuit_seed.csv (paper zero-shot eval; not re-run). vtr_seconds null: the original eval did not log it.
mkDelayWorker32B,123,control,,0.9,34,38,3477470.0,6.04504,0.1658,3485355.6222510403,58.87798514652862,True,0,,True,,,data_export/results_per_circuit_seed.csv (paper zero-shot eval; not re-run). vtr_seconds null: the original eval did not log it.
lightweight_cipher,123,control,,0.8,10,13,336321.0,3.53812,0.02077,24715.138053920404,30.514889494557313,True,0,,True,,,data_export/results_per_circuit_seed.csv (paper zero-shot eval; not re-run). vtr_seconds null: the original eval did not log it.
reduction_layer,123,control,,0.9,32,36,9230760.0,7.37335,0.1375,9358473.333825001,19.491427722139992,True,0,,True,,,data_export/results_per_circuit_seed.csv (paper zero-shot eval; not re-run). vtr_seconds null: the original eval did not log it.
arm_core,123,control,,0.9,32,36,9071590.0,19.2653,0.06003,10491257.17670481,8.521169695917106,True,0,,True,,,data_export/results_per_circuit_seed.csv (paper zero-shot eval; not re-run). vtr_seconds null: the original eval did not log it.
