circuit,seed,policy_aspect_ratio,rank_of_that_ar_in_sweep,n_ars_in_sweep,adp_reduction_pct_of_that_ar_in_sweep,sweep_best_ar,sweep_best_adp_reduction_pct,source
custom_macbuf,7,0.8,4,20,35.061958945832664,0.6,48.198454551118544,"data_export/baseline_ar_sweep.csv (rank, 1=best) + data_export/results_per_circuit_seed.csv (policy AR)"
custom_macbuf,42,0.8,4,20,35.061958945832664,0.6,48.198454551118544,"data_export/baseline_ar_sweep.csv (rank, 1=best) + data_export/results_per_circuit_seed.csv (policy AR)"
custom_macbuf,123,0.8,4,20,35.061958945832664,0.6,48.198454551118544,"data_export/baseline_ar_sweep.csv (rank, 1=best) + data_export/results_per_circuit_seed.csv (policy AR)"
mkDelayWorker32B,7,0.9,2,20,8.660603710128909,0.8,10.886920093217185,"data_export/baseline_ar_sweep.csv (rank, 1=best) + data_export/results_per_circuit_seed.csv (policy AR)"
mkDelayWorker32B,42,0.9,2,20,8.660603710128909,0.8,10.886920093217185,"data_export/baseline_ar_sweep.csv (rank, 1=best) + data_export/results_per_circuit_seed.csv (policy AR)"
mkDelayWorker32B,123,0.9,2,20,8.660603710128909,0.8,10.886920093217185,"data_export/baseline_ar_sweep.csv (rank, 1=best) + data_export/results_per_circuit_seed.csv (policy AR)"
lightweight_cipher,7,0.8,2,20,-2.0227230974998385,0.9,-0.08072906008054884,"data_export/baseline_ar_sweep.csv (rank, 1=best) + data_export/results_per_circuit_seed.csv (policy AR)"
lightweight_cipher,42,0.9,1,20,-0.08072906008054884,0.9,-0.08072906008054884,"data_export/baseline_ar_sweep.csv (rank, 1=best) + data_export/results_per_circuit_seed.csv (policy AR)"
lightweight_cipher,123,0.8,2,20,-2.0227230974998385,0.9,-0.08072906008054884,"data_export/baseline_ar_sweep.csv (rank, 1=best) + data_export/results_per_circuit_seed.csv (policy AR)"
reduction_layer,7,0.9,2,20,5.47609685381644,0.8,8.472529809206746,"data_export/baseline_ar_sweep.csv (rank, 1=best) + data_export/results_per_circuit_seed.csv (policy AR)"
reduction_layer,42,0.9,2,20,5.47609685381644,0.8,8.472529809206746,"data_export/baseline_ar_sweep.csv (rank, 1=best) + data_export/results_per_circuit_seed.csv (policy AR)"
reduction_layer,123,0.9,2,20,5.47609685381644,0.8,8.472529809206746,"data_export/baseline_ar_sweep.csv (rank, 1=best) + data_export/results_per_circuit_seed.csv (policy AR)"
arm_core,7,0.9,6,20,-12.237347350572549,1.2,11.798543363948447,"data_export/baseline_ar_sweep.csv (rank, 1=best) + data_export/results_per_circuit_seed.csv (policy AR)"
arm_core,42,0.9,6,20,-12.237347350572549,1.2,11.798543363948447,"data_export/baseline_ar_sweep.csv (rank, 1=best) + data_export/results_per_circuit_seed.csv (policy AR)"
arm_core,123,0.9,6,20,-12.237347350572549,1.2,11.798543363948447,"data_export/baseline_ar_sweep.csv (rank, 1=best) + data_export/results_per_circuit_seed.csv (policy AR)"
softmax,7,0.9,9,20,2.447889100326288,0.5,9.894195251033864,"data_export/baseline_ar_sweep.csv (rank, 1=best) + data_export/results_per_circuit_seed.csv (policy AR)"
softmax,42,0.9,9,20,2.447889100326288,0.5,9.894195251033864,"data_export/baseline_ar_sweep.csv (rank, 1=best) + data_export/results_per_circuit_seed.csv (policy AR)"
softmax,123,0.9,9,20,2.447889100326288,0.5,9.894195251033864,"data_export/baseline_ar_sweep.csv (rank, 1=best) + data_export/results_per_circuit_seed.csv (policy AR)"
