circuit,seed,variant,draw_index,aspect_ratio,grid_w,grid_h,area_mwta,delay_ns,power_w,adp,adp_reduction_pct,vtr_success,cached,vtr_seconds,dsp_coords,bram_coords,source
custom_macbuf,7,fixed_ar_policy_blocks,0,1.0,13,13,375467.0,14.1871,0.006042,32184.452344979396,27.680605181460034,True,False,2.45,"[[5, 4], [1, 8], [7, 3]]","[[6, 4]]",data_export2/tools/e2.py; actions in data_export2/logs/e2_actions.json
custom_macbuf,7,policy_ar_random_blocks,3,0.8,14,18,589127.0,13.9198,0.007549,61905.8010802154,-39.104124621728495,True,False,3.25,"[[10, 5], [6, 5], [12, 9]]","[[5, 7]]",data_export2/tools/e2.py; actions in data_export2/logs/e2_actions.json
custom_macbuf,7,fixed_ar_random_blocks,2,1.0,14,14,427308.0,14.0506,0.006585,39535.903972907996,11.16168085517732,True,False,3.25,"[[1, 4], [7, 6], [4, 1]]","[[12, 5]]",data_export2/tools/e2.py; actions in data_export2/logs/e2_actions.json
custom_macbuf,7,fixed_ar_random_blocks,4,1.0,14,14,523864.0,14.0175,0.006775,49750.6110255,-11.791061182310314,True,False,3.26,"[[12, 4], [9, 6], [11, 8]]","[[3, 1]]",data_export2/tools/e2.py; actions in data_export2/logs/e2_actions.json
custom_macbuf,7,policy_ar_random_blocks,0,0.8,14,18,640629.0,13.6505,0.007668,67055.940469386,-50.67663671122017,True,False,3.28,"[[7, 9], [8, 7], [11, 1]]","[[12, 3]]",data_export2/tools/e2.py; actions in data_export2/logs/e2_actions.json
custom_macbuf,7,fixed_ar_random_blocks,0,1.0,14,14,462600.0,13.654,0.006706,42357.378722400004,4.821745528892856,True,False,3.29,"[[7, 9], [8, 7], [11, 1]]","[[12, 3]]",data_export2/tools/e2.py; actions in data_export2/logs/e2_actions.json
custom_macbuf,7,policy_ar_random_blocks,4,0.8,14,18,670109.0,14.0142,0.007613,71493.9993034014,-60.649083208205134,True,False,3.28,"[[12, 4], [9, 6], [11, 8]]","[[3, 1]]",data_export2/tools/e2.py; actions in data_export2/logs/e2_actions.json
custom_macbuf,7,fixed_ar_random_blocks,1,1.0,13,13,426769.0,13.9236,0.006241,37085.025854864405,16.668874837260535,True,False,6.06,"[[11, 2], [10, 3], [5, 8]]","[[9, 6]]",data_export2/tools/e2.py; actions in data_export2/logs/e2_actions.json
custom_macbuf,7,fixed_ar_random_blocks,3,1.0,14,14,505712.0,13.7695,0.006772,47156.154172448005,-5.961241632039068,True,False,6.08,"[[10, 5], [6, 5], [12, 9]]","[[5, 7]]",data_export2/tools/e2.py; actions in data_export2/logs/e2_actions.json
custom_macbuf,7,policy_ar_random_blocks,1,0.8,13,16,516991.0,14.3343,0.006733,49896.27064672291,-12.118362561977305,True,False,6.19,"[[11, 2], [10, 3], [5, 8]]","[[9, 6]]",data_export2/tools/e2.py; actions in data_export2/logs/e2_actions.json
