source_circuit,target_circuit,seed,source_aspect_ratio,target_grid_w,target_grid_h,n_blocks_transferred,n_blocks_random,area_mwta,delay_ns,power_w,adp,adp_reduction_pct,vtr_success,vtr_seconds,cached,dsp_coords,bram_coords,source
mkDelayWorker32B,custom_macbuf,42,0.9,12,12,4,0,237211.0,13.5304,0.005053,16217.9052368632,63.55789809990854,True,11.4,False,"[[3, 2], [4, 2], [5, 2]]","[[1, 3]]",data_export3/tools/f1.py transfer_actions(); source floorplan from data_export/logs/det_actions_and_timing.json
lightweight_cipher,custom_macbuf,42,0.9,12,12,3,1,408713.0,14.4315,0.006192,36522.531555623995,17.932815788435086,True,8.31,False,"[[6, 2], [7, 2], [1, 9]]","[[2, 2]]",data_export3/tools/f1.py transfer_actions(); source floorplan from data_export/logs/det_actions_and_timing.json
reduction_layer,custom_macbuf,42,0.9,12,12,4,0,244630.0,13.2658,0.005124,16628.469639096,62.635348019352534,True,8.49,False,"[[4, 2], [3, 3], [5, 2]]","[[1, 3]]",data_export3/tools/f1.py transfer_actions(); source floorplan from data_export/logs/det_actions_and_timing.json
mkDelayWorker32B,lightweight_cipher,42,0.9,12,12,3,0,309813.0,3.47295,0.02047,22025.0047444245,38.07803601135553,True,7.18,False,[],"[[1, 3], [3, 2], [4, 2]]",data_export3/tools/f1.py transfer_actions(); source floorplan from data_export/logs/det_actions_and_timing.json
custom_macbuf,lightweight_cipher,42,0.8,12,12,3,0,336155.0,3.61356,0.02035,24719.47592763,30.502693825918424,True,9.49,False,[],"[[7, 2], [3, 6], [2, 6]]",data_export3/tools/f1.py transfer_actions(); source floorplan from data_export/logs/det_actions_and_timing.json
arm_core,custom_macbuf,42,0.9,12,12,4,0,266102.0,13.5534,0.005366,19352.9450199288,56.51337307853688,True,6.98,False,"[[4, 2], [5, 3], [3, 5]]","[[1, 4]]",data_export3/tools/f1.py transfer_actions(); source floorplan from data_export/logs/det_actions_and_timing.json
reduction_layer,lightweight_cipher,42,0.9,12,12,3,0,309833.0,3.39882,0.02091,22019.622544524602,38.09316773969105,True,8.47,False,[],"[[1, 3], [4, 2], [3, 3]]",data_export3/tools/f1.py transfer_actions(); source floorplan from data_export/logs/det_actions_and_timing.json
arm_core,lightweight_cipher,42,0.9,12,12,3,0,309740.0,3.51746,0.02023,22040.545761891997,38.0343433840378,True,5.51,False,[],"[[1, 4], [4, 2], [5, 3]]",data_export3/tools/f1.py transfer_actions(); source floorplan from data_export/logs/det_actions_and_timing.json
reduction_layer,mkDelayWorker32B,42,0.9,48,48,32,11,7519470.0,7.4643,0.1681,9435046.184720099,-11.319518408472673,True,43.77,False,[],"[[2, 10], [12, 4], [15, 8], [14, 4], [9, 16], [16, 9], [11, 2], [8, 16], [2, 20], [24, 18], [3, 9], [1, 3], [6, 19], [22, 7], [17, 16], [11, 18], [10, 7], [14, 19], [18, 20], [19, 22], [7, 2], [22, 14], [23, 18], [2, 2], [9, 4], [23, 3], [16, 1], [8, 4], [7, 16], [20, 17], [6, 1], [4, 2], [34, 7], [40, 26], [26, 9], [15, 19], [45, 35], [24, 3], [41, 32], [33, 24], [44, 41], [41, 8], [45, 18]]",data_export3/tools/f1.py transfer_actions(); source floorplan from data_export/logs/det_actions_and_timing.json
custom_macbuf,mkDelayWorker32B,42,0.8,48,48,4,39,9485080.0,8.46186,0.1698,13628388.95448624,-60.79472907654486,True,50.56,False,[],"[[27, 5], [10, 22], [5, 22], [22, 14], [31, 43], [39, 14], [22, 31], [12, 40], [45, 14], [20, 12], [40, 29], [31, 19], [44, 16], [39, 43], [44, 38], [28, 18], [22, 4], [37, 18], [13, 7], [40, 22], [48, 32], [20, 6], [2, 34], [36, 11], [4, 40], [10, 30], [1, 34], [25, 7], [31, 12], [40, 11], [9, 20], [15, 20], [3, 9], [23, 27], [11, 8], [17, 29], [7, 7], [43, 38], [38, 26], [4, 10], [10, 36], [29, 25], [17, 11]]",data_export3/tools/f1.py transfer_actions(); source floorplan from data_export/logs/det_actions_and_timing.json
softmax,custom_macbuf,42,0.9,12,12,4,0,244630.0,13.2658,0.005124,16628.469639096,62.635348019352534,True,0.01,True,"[[4, 2], [3, 3], [5, 2]]","[[1, 3]]",data_export3/tools/f1.py transfer_actions(); source floorplan from data_export/logs/det_actions_and_timing.json
lightweight_cipher,mkDelayWorker32B,42,0.9,48,48,3,40,8007680.0,9.29728,0.1515,11279120.9312256,-33.076858931370026,True,63.82,False,[],"[[5, 5], [22, 5], [27, 5], [31, 38], [39, 13], [22, 22], [12, 30], [45, 13], [20, 5], [40, 27], [31, 11], [44, 15], [39, 42], [44, 37], [28, 9], [21, 39], [37, 16], [12, 41], [40, 21], [48, 32], [19, 39], [2, 34], [36, 10], [4, 41], [10, 18], [1, 34], [25, 1], [31, 5], [40, 11], [9, 19], [15, 12], [3, 9], [23, 24], [10, 43], [17, 18], [7, 7], [43, 37], [38, 24], [4, 11], [10, 28], [29, 19], [17, 3], [41, 27]]",data_export3/tools/f1.py transfer_actions(); source floorplan from data_export/logs/det_actions_and_timing.json
softmax,lightweight_cipher,42,0.9,12,12,3,0,309833.0,3.39882,0.02091,22019.622544524602,38.09316773969105,True,0.0,True,[],"[[1, 3], [4, 2], [3, 3]]",data_export3/tools/f1.py transfer_actions(); source floorplan from data_export/logs/det_actions_and_timing.json
arm_core,mkDelayWorker32B,42,0.9,48,48,24,19,7064510.0,8.15095,0.1651,9506865.43122095,-12.166878747405805,True,62.58,False,[],"[[2, 12], [15, 5], [18, 9], [11, 19], [16, 5], [19, 11], [9, 19], [13, 2], [2, 24], [29, 22], [4, 11], [1, 4], [7, 23], [26, 8], [20, 19], [13, 22], [16, 23], [12, 8], [22, 24], [23, 26], [8, 2], [26, 16], [27, 22], [2, 2], [33, 30], [40, 14], [24, 23], [13, 41], [45, 30], [22, 2], [41, 21], [33, 2], [44, 35], [40, 36], [45, 12], [30, 11], [24, 2], [38, 17], [14, 5], [41, 13], [48, 33], [21, 35], [3, 19]]",data_export3/tools/f1.py transfer_actions(); source floorplan from data_export/logs/det_actions_and_timing.json
softmax,mkDelayWorker32B,42,0.9,48,48,8,35,8379220.0,7.9748,0.1717,11473441.0477352,-35.36954742100974,True,75.99,False,[],"[[2, 10], [13, 5], [15, 8], [14, 5], [9, 16], [16, 9], [8, 16], [12, 2], [32, 14], [39, 23], [23, 17], [13, 14], [45, 17], [21, 12], [40, 36], [31, 30], [44, 20], [40, 8], [44, 42], [28, 31], [23, 1], [37, 27], [13, 24], [41, 1], [48, 32], [21, 5], [2, 43], [36, 20], [4, 43], [10, 27], [1, 33], [25, 30], [31, 20], [40, 23], [9, 27], [16, 20], [3, 13], [24, 6], [11, 6], [18, 27], [6, 37], [44, 4], [38, 36]]",data_export3/tools/f1.py transfer_actions(); source floorplan from data_export/logs/det_actions_and_timing.json
