target_circuit,seed,method,adp_reduction_pct,aspect_ratio,source
custom_macbuf,42,policy_deterministic,59.53452058401446,0.8,"data_export/results_per_circuit_seed.csv; reused, not re-run"
custom_macbuf,42,trimmed_baseline_ar_sweep_best,48.198454551118544,0.6,"data_export/baseline_ar_sweep.csv (best of 20 aspect ratios); reused, not re-run"
custom_macbuf,42,random_best_of_20,46.07958327979164,,"data_export/random_floorplans.csv (best of the 20 random legal floorplans at seed 42); reused, not re-run"
mkDelayWorker32B,42,policy_deterministic,54.87823639923658,0.9,"data_export/results_per_circuit_seed.csv; reused, not re-run"
mkDelayWorker32B,42,trimmed_baseline_ar_sweep_best,10.886920093217185,0.8,"data_export/baseline_ar_sweep.csv (best of 20 aspect ratios); reused, not re-run"
mkDelayWorker32B,42,random_best_of_20,1.1545288568723042,,"data_export/random_floorplans.csv (best of the 20 random legal floorplans at seed 42); reused, not re-run"
lightweight_cipher,42,policy_deterministic,39.72878808746763,0.9,"data_export/results_per_circuit_seed.csv; reused, not re-run"
lightweight_cipher,42,trimmed_baseline_ar_sweep_best,-0.08072906008054884,0.9,"data_export/baseline_ar_sweep.csv (best of 20 aspect ratios); reused, not re-run"
lightweight_cipher,42,random_best_of_20,26.798297731436083,,"data_export/random_floorplans.csv (best of the 20 random legal floorplans at seed 42); reused, not re-run"
reduction_layer,42,policy_deterministic,21.50995793041336,0.9,"data_export/results_per_circuit_seed.csv; reused, not re-run"
reduction_layer,42,trimmed_baseline_ar_sweep_best,8.472529809206746,0.8,"data_export/baseline_ar_sweep.csv (best of 20 aspect ratios); reused, not re-run"
reduction_layer,42,random_best_of_20,-17.876746965430748,,"data_export/random_floorplans.csv (best of the 20 random legal floorplans at seed 42); reused, not re-run"
arm_core,42,policy_deterministic,11.833083069198413,0.9,"data_export/results_per_circuit_seed.csv; reused, not re-run"
arm_core,42,trimmed_baseline_ar_sweep_best,11.798543363948447,1.2,"data_export/baseline_ar_sweep.csv (best of 20 aspect ratios); reused, not re-run"
arm_core,42,random_best_of_20,-12.615977282540264,,"data_export/random_floorplans.csv (best of the 20 random legal floorplans at seed 42); reused, not re-run"
softmax,42,policy_deterministic,5.390174734836533,0.9,"data_export/results_per_circuit_seed.csv; reused, not re-run"
softmax,42,trimmed_baseline_ar_sweep_best,9.894195251033864,0.5,"data_export/baseline_ar_sweep.csv (best of 20 aspect ratios); reused, not re-run"
softmax,42,random_best_of_20,9.090736851996205,,"data_export/random_floorplans.csv (best of the 20 random legal floorplans at seed 42); reused, not re-run"
