circuit,seed,step_index,n_legal_actions,chosen_action_prob,top1_prob,top5_mass,top10_mass,top1pct_mass,uniform_reference_top10_mass,entropy,entropy_over_ln_n_legal,gini,source
custom_macbuf,7,1,84,0.3296951949596405,0.3296951857027102,0.6373385384545714,0.825091806357145,0.3296951857027102,0.11904761904761904,2.531583717889742,0.5713582467572625,0.879076299613939,policy distribution at the control rollout's own observations (no VTR)
custom_macbuf,7,2,99,0.1541978120803833,0.1541978215283184,0.5593084886640224,0.7671328861913784,0.1541978215283184,0.10101010101010101,2.851775806068242,0.6206096683168588,0.8692456976537108,policy distribution at the control rollout's own observations (no VTR)
custom_macbuf,7,3,92,0.15780290961265564,0.15780289988498836,0.5912606277171051,0.817492892863223,0.15780289988498836,0.10869565217391304,2.7142694237385223,0.6002645584791757,0.8764316640471825,policy distribution at the control rollout's own observations (no VTR)
custom_macbuf,7,4,87,0.15614792704582214,0.15614793463386403,0.5786787627215607,0.8286433585337756,0.15614793463386403,0.11494252873563218,2.70233361556533,0.6051028242783117,0.870524459196681,policy distribution at the control rollout's own observations (no VTR)
mkDelayWorker32B,7,1,2064,0.06384962797164917,0.06384963513376615,0.13730305390175532,0.18326549657910324,0.2364230765733771,0.0048449612403100775,6.808695723869449,0.8920778154778688,0.4245459458729177,policy distribution at the control rollout's own observations (no VTR)
mkDelayWorker32B,7,2,2053,0.030489744618535042,0.030489742179769685,0.09230422142192124,0.13530030975096355,0.18915344006810447,0.004870920603994155,7.0183638280793845,0.9201928665724586,0.38226415436672956,policy distribution at the control rollout's own observations (no VTR)
mkDelayWorker32B,7,3,2042,0.01886635273694992,0.018866354032408706,0.07744251537110815,0.11443352972810555,0.16902743462672631,0.004897159647404506,7.09381990891978,0.9307416811514564,0.36169558716689854,policy distribution at the control rollout's own observations (no VTR)
mkDelayWorker32B,7,4,2031,0.01644832268357277,0.01644832589080532,0.07066112644422921,0.10323529701128954,0.15769278678642143,0.004923682914820286,7.131461737491321,0.9363440423181325,0.34814374023620465,policy distribution at the control rollout's own observations (no VTR)
mkDelayWorker32B,7,5,2020,0.016420476138591766,0.016420476510576217,0.06325787495700493,0.09454020932281085,0.14883166236822856,0.0049504950495049506,7.160256651969737,0.940795578257123,0.33645935952046857,policy distribution at the control rollout's own observations (no VTR)
mkDelayWorker32B,7,6,2009,0.014561065472662449,0.014561065609862126,0.05465127812038849,0.08393567833042984,0.13612511230372198,0.004977600796416127,7.202104776921858,0.9469734671732626,0.3191443480289098,policy distribution at the control rollout's own observations (no VTR)
mkDelayWorker32B,7,7,1998,0.014653133228421211,0.014653134307264308,0.04731316980005042,0.0768502015391073,0.12317534954062548,0.005005005005005005,7.23421775853805,0.9518830370926873,0.3047255210126001,policy distribution at the control rollout's own observations (no VTR)
mkDelayWorker32B,7,8,1987,0.007649435196071863,0.00764943471767244,0.03417334352171038,0.06355354816860546,0.10723031153831003,0.0050327126321087065,7.280882890651633,0.9587196979072328,0.2868966790820766,policy distribution at the control rollout's own observations (no VTR)
mkDelayWorker32B,7,9,1976,0.007685498800128698,0.007685497454401492,0.033047997193959774,0.06175062189824827,0.1045365611518747,0.005060728744939271,7.287467320960928,0.9602886660816696,0.27994708452531936,policy distribution at the control rollout's own observations (no VTR)
mkDelayWorker32B,7,10,1965,0.006611666176468134,0.006611666115661894,0.032196916343695904,0.05963813691499959,0.10025628796775746,0.005089058524173028,7.305198940814333,0.9633338378316258,0.2672221880394079,policy distribution at the control rollout's own observations (no VTR)
mkDelayWorker32B,7,11,1959,0.0066334884613752365,0.006633488193938988,0.03214841346100468,0.058851119552171045,0.09684884739807266,0.005104645227156712,7.31706741987502,0.9652882027661955,0.25876150296132017,policy distribution at the control rollout's own observations (no VTR)
mkDelayWorker32B,7,12,1948,0.0067039551213383675,0.0067039545503467385,0.03199671727959087,0.05713259594053548,0.09465816253164339,0.00513347022587269,7.320828963670551,0.9665024012870046,0.25292516513558416,policy distribution at the control rollout's own observations (no VTR)
mkDelayWorker32B,7,13,1937,0.006555282045155764,0.006555281587012306,0.030996539326317303,0.055387921485608387,0.09231648600874172,0.005162622612287042,7.324636350813675,0.9677285401390548,0.24756943505876405,policy distribution at the control rollout's own observations (no VTR)
mkDelayWorker32B,7,14,1926,0.006574991624802351,0.006574991191138578,0.030205428470710404,0.05369383860135969,0.08909631398522407,0.005192107995846314,7.3324011709347126,0.9694838952629975,0.24011728088302942,policy distribution at the control rollout's own observations (no VTR)
mkDelayWorker32B,7,15,1915,0.006495166104286909,0.006495166489420512,0.029385448313236057,0.05175122157195132,0.08681631882434587,0.005221932114882507,7.339500931513394,0.9711580877710088,0.23152230345261682,policy distribution at the control rollout's own observations (no VTR)
mkDelayWorker32B,7,16,1904,0.006532902363687754,0.006532903073903954,0.028567783380607836,0.04987451557244694,0.08383028072821719,0.005252100840336135,7.34685115277716,0.9728722365561411,0.22315407788280006,policy distribution at the control rollout's own observations (no VTR)
mkDelayWorker32B,7,17,1894,0.005742213688790798,0.005742213625138812,0.027115001508284296,0.04819560323502809,0.07816987258344452,0.005279831045406547,7.357427381291027,0.9749525954868862,0.21253040965122905,policy distribution at the control rollout's own observations (no VTR)
mkDelayWorker32B,7,18,1888,0.005755589343607426,0.005755589479039019,0.02621626403403496,0.0465853548860253,0.07585620313561929,0.005296610169491525,7.361876395392001,0.9759524886642652,0.20783682296002115,policy distribution at the control rollout's own observations (no VTR)
mkDelayWorker32B,7,19,1878,0.005707242991775274,0.005707244089589308,0.025247081382673713,0.04511070769943602,0.07309435014318541,0.005324813631522897,7.36826752560218,0.9774879311791064,0.19994018561728621,policy distribution at the control rollout's own observations (no VTR)
mkDelayWorker32B,7,20,1870,0.005677786190062761,0.005677786246122239,0.02412946872022941,0.04342130311795851,0.06868387873112823,0.0053475935828877,7.380677513958593,0.9796890872149469,0.1885017963800022,policy distribution at the control rollout's own observations (no VTR)
mkDelayWorker32B,7,21,1859,0.0048778667114675045,0.004877865896218147,0.02287263366891543,0.04138089537053124,0.06601329581201999,0.0053792361484669175,7.382963612257719,0.9807605819580136,0.1828927035922212,policy distribution at the control rollout's own observations (no VTR)
mkDelayWorker32B,7,22,1850,0.004923622589558363,0.004923622248620719,0.02245975875303321,0.04010002503031909,0.06325144814062492,0.005405405405405406,7.386610011518716,0.9818779772381109,0.1765934798131079,policy distribution at the control rollout's own observations (no VTR)
mkDelayWorker32B,7,23,1841,0.0047480384819209576,0.004748039257162417,0.021764276843177898,0.03858076153680725,0.060943518937005406,0.005431830526887561,7.390369860542373,0.9830149999238552,0.16971506140392179,policy distribution at the control rollout's own observations (no VTR)
mkDelayWorker32B,7,24,1830,0.004417546559125185,0.004417547320936121,0.02121884927996548,0.03717808694037687,0.059031416597522327,0.00546448087431694,7.394046765206843,0.9842886899276876,0.16137912595470527,policy distribution at the control rollout's own observations (no VTR)
mkDelayWorker32B,7,25,1819,0.004445339553058147,0.004445339048910684,0.02039509850220638,0.035858890864383056,0.057303068248562884,0.005497526113249038,7.3945304518376425,0.9851437383339492,0.15569810225165615,policy distribution at the control rollout's own observations (no VTR)
mkDelayWorker32B,7,26,1810,0.004437511321157217,0.0044375119022451726,0.019524349826602602,0.033597502134733406,0.05437146047588874,0.0055248618784530384,7.39743799896712,0.9861827768879443,0.14960926805999097,policy distribution at the control rollout's own observations (no VTR)
mkDelayWorker32B,7,27,1803,0.004207178484648466,0.0042071787973118205,0.018369777794788465,0.03200799907011753,0.052150150445680166,0.005546311702717693,7.400125066995401,0.9870508906426577,0.1441238700562657,policy distribution at the control rollout's own observations (no VTR)
mkDelayWorker32B,7,28,1792,0.004146052524447441,0.004146053580531711,0.017345438705799396,0.030105999190461245,0.04771304251598521,0.005580357142857143,7.401274362846214,0.988010655386519,0.13738932142644167,policy distribution at the control rollout's own observations (no VTR)
mkDelayWorker32B,7,29,1781,0.003571105422452092,0.003571105684466818,0.016001258055306142,0.028563871979990548,0.0458731745499615,0.005614823133071308,7.400441033145514,0.988712085891732,0.13238893740975932,policy distribution at the control rollout's own observations (no VTR)
mkDelayWorker32B,7,30,1775,0.0032315689604729414,0.0032315688899346665,0.014365828049649396,0.026344797930255348,0.0430703111836124,0.005633802816901409,7.404545800999672,0.989706699518365,0.12598437505322124,policy distribution at the control rollout's own observations (no VTR)
mkDelayWorker32B,7,31,1764,0.003096937667578459,0.003096937542046078,0.013744801889899162,0.025559763552203057,0.042014163612759836,0.005668934240362812,7.402269104113623,0.9902251750535039,0.12141121521903031,policy distribution at the control rollout's own observations (no VTR)
