circuit,seed,candidate_kind,action_rank_if_topk,action_prob,action,adp,adp_reduction_pct,vtr_success,vtr_seconds,cached,source
custom_macbuf,42,top_k,5,0.04463983699679375,288,18058.91117184,59.42110454357413,True,2.53,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
custom_macbuf,42,random,,3.66167223546654e-05,432,35513.1809958135,20.20085567498722,True,3.19,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
custom_macbuf,42,top_k,3,0.05494347959756851,243,18052.0976127492,59.4364148078199,True,3.11,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
custom_macbuf,42,random,,0.010100443847477436,241,18158.2608369483,59.19786297404103,True,2.84,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
custom_macbuf,42,top_k,2,0.16048066318035126,101,24224.6538045954,45.566502606334694,True,4.49,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
custom_macbuf,42,top_k,1,0.39597558975219727,289,18008.437392878397,59.53452058401446,True,3.45,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
custom_macbuf,42,random,,0.0005774835008196533,6,30781.6280994816,30.832791814426034,True,2.75,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
custom_macbuf,42,random,,1.2275796507310588e-05,534,58591.53004306501,-31.656861791148717,True,4.62,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
custom_macbuf,42,random,,0.00010417384328320622,342,32315.701509576,27.385684514414844,True,5.21,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
custom_macbuf,42,top_k,4,0.05291992053389549,53,24412.396288423002,45.14463981784888,True,5.58,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
lightweight_cipher,42,top_k,2,0.1662140190601349,241,21412.1128287744,39.80114443154436,True,3.31,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
lightweight_cipher,42,top_k,1,0.21347463130950928,49,21437.8492350336,39.72878808746763,True,4.99,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
lightweight_cipher,42,top_k,4,0.057991743087768555,339,21432.630442577996,39.74346040569184,True,4.24,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
lightweight_cipher,42,top_k,3,0.06722811609506607,289,21425.581358062,39.763278478950724,True,5.44,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
lightweight_cipher,42,top_k,5,0.045894693583250046,433,30923.164590215096,13.061399695954604,True,5.08,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
lightweight_cipher,42,random,,0.02080622687935829,482,35179.745238948,1.0942815634455685,True,7.02,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
lightweight_cipher,42,random,,0.009029733948409557,99,22071.541247155797,37.947201458549614,True,4.19,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
lightweight_cipher,42,random,,0.015307041816413403,192,21484.413555711,39.59787532619471,True,4.45,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
lightweight_cipher,42,random,,0.0037763449363410473,146,20558.21384304,42.20182960088447,True,5.9,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
lightweight_cipher,42,random,,0.0011126588797196746,530,43751.8304885424,-23.005615816478663,True,5.07,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
mkDelayWorker32B,42,top_k,4,0.011152266524732113,482,3837916.3982609995,54.71829212258712,True,26.9,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
mkDelayWorker32B,42,random,,0.0003613075823523104,1466,3845379.2922760006,54.630241067889706,True,28.03,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
mkDelayWorker32B,42,top_k,2,0.017359618097543716,483,3816887.2135905,54.96640523875119,True,28.1,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
mkDelayWorker32B,42,top_k,3,0.01586882956326008,582,3824542.33006912,54.87608624474978,True,28.06,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
mkDelayWorker32B,42,top_k,5,0.010873902589082718,531,3824636.35798656,54.87497685511019,True,28.1,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
mkDelayWorker32B,42,top_k,1,0.020419741049408913,56,3824360.0906273997,54.87823639923658,True,28.32,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
mkDelayWorker32B,42,random,,0.0003599374322220683,1034,3670924.7187121804,56.68854568379403,True,38.79,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
mkDelayWorker32B,42,random,,0.0003610210260376334,565,6492893.1516,23.393513443069104,True,42.38,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
mkDelayWorker32B,42,random,,0.00035984854912385345,2119,8818506.7996662,-4.045270240487471,True,45.99,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
mkDelayWorker32B,42,random,,0.0003613854933064431,1826,6172442.933829601,27.174349616808442,True,43.75,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
reduction_layer,42,top_k,2,0.021343886852264404,483,9425165.958062401,18.9176879926683,True,119.95,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
reduction_layer,42,top_k,4,0.01375110074877739,482,8927015.5554328,23.203149548710194,True,182.07,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
reduction_layer,42,random,,0.00044028274714946747,1318,8368141.8947076,28.010997891458743,True,182.35,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
arm_core,42,top_k,3,0.02474861405789852,582,10013888.00524392,12.683604444484327,True,201.41,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
arm_core,42,top_k,4,0.017689285799860954,482,10186300.33682904,11.180249969633838,True,202.03,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
reduction_layer,42,random,,0.0016978164203464985,438,8936008.319367358,23.12578708163062,True,212.45,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
arm_core,42,top_k,2,0.02746070921421051,483,10047615.169883398,12.389519425050862,True,211.66,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
reduction_layer,42,top_k,5,0.013325736857950687,531,9454867.632270632,18.662172023399677,True,240.35,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
arm_core,42,top_k,5,0.017507657408714294,349,10159434.126199799,11.414510695652764,True,209.83,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
reduction_layer,42,random,,7.794431439833716e-05,1119,8570597.01784,26.26932782067744,True,226.16,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
reduction_layer,42,top_k,1,0.0254839938133955,56,9123835.44877532,21.50995793041336,True,261.1,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
arm_core,42,top_k,1,0.033320166170597076,56,10111430.11911604,11.833083069198413,True,250.58,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
reduction_layer,42,random,,0.00043914257548749447,1552,10534031.481119001,9.378399165850478,True,280.37,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
reduction_layer,42,top_k,3,0.019409917294979095,582,8949492.34605348,23.009787420325555,True,283.48,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
arm_core,42,random,,0.0005616644048132002,1516,12315697.9459175,-7.387096083444811,True,310.64,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
arm_core,42,random,,0.00012532917025964707,673,10678579.80574416,6.887804437075201,True,156.93,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
arm_core,42,random,,0.0005611664964817464,1252,9793438.64330832,14.60581924024098,True,282.73,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
arm_core,42,random,,0.0006275445921346545,437,9584436.671161199,16.428218178827503,True,235.29,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
reduction_layer,42,random,,0.00043942619231529534,1090,12803099.605678799,-10.141818351812292,True,431.23,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
arm_core,42,random,,0.0005604284815490246,1320,10337376.3880464,9.862937828719888,True,244.49,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
softmax,42,top_k,1,0.024390533566474915,56,3385635.3634372503,5.390174734836533,True,260.04,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
softmax,42,top_k,2,0.021066738292574883,483,3366449.9255660134,5.926301851251859,True,271.25,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
softmax,42,random,,0.0003370563790667802,341,3513736.0334912646,1.8104679119918237,True,271.95,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
softmax,42,top_k,3,0.018965499475598335,582,3347305.296041817,6.461288599562414,True,279.22,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
softmax,42,top_k,5,0.01299903355538845,531,3364942.801223389,5.9684176597788055,True,279.24,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
softmax,42,random,,0.0004449657571967691,1392,3401807.1699069277,4.938261985802363,True,255.51,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
softmax,42,random,,0.00044561337563209236,507,3371392.6366605866,5.788180351800425,True,255.15,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
softmax,42,random,,5.416813655756414e-05,1170,3371037.6779151363,5.7980994899468605,True,282.04,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
softmax,42,top_k,4,0.013186950236558914,482,3365953.6882875,5.940168944772103,True,288.98,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
softmax,42,random,,0.0004464206867851317,1923,5867817.05350575,-63.97310593911945,True,294.75,False,"data_export3/tools/f2.py; first placement step overridden, rest of the rollout deterministic"
