circuit,seed,variant,area_mwta,delay_ns,power_w,adp,adp_reduction_pct,vtr_success,vtr_seconds,cached,aspect_ratio,grid_w,grid_h,source
custom_macbuf,7,pinned,299970.0,13.7494,0.005637,23249.285178965998,47.75818410442031,True,,,0.8,10,13,"data_export/results_per_circuit_seed.csv (paper zero-shot eval, not re-run); vtr_seconds/cached null: not logged by that eval"
custom_macbuf,42,pinned,256464.0,13.5217,0.005193,18008.437392878397,59.53452058401446,True,,,0.8,9,11,"data_export/results_per_circuit_seed.csv (paper zero-shot eval, not re-run); vtr_seconds/cached null: not logged by that eval"
custom_macbuf,123,pinned,256780.0,13.6801,0.005183,18206.718412274,59.088977401455686,True,,,0.8,9,11,"data_export/results_per_circuit_seed.csv (paper zero-shot eval, not re-run); vtr_seconds/cached null: not logged by that eval"
mkDelayWorker32B,7,pinned,3189100.0,6.16933,0.1619,3185319.4080557004,62.41796642647371,True,,,0.9,34,38,"data_export/results_per_circuit_seed.csv (paper zero-shot eval, not re-run); vtr_seconds/cached null: not logged by that eval"
mkDelayWorker32B,42,pinned,3771980.0,6.62671,0.153,3824360.0906273997,54.87823639923658,True,,,0.9,34,38,"data_export/results_per_circuit_seed.csv (paper zero-shot eval, not re-run); vtr_seconds/cached null: not logged by that eval"
mkDelayWorker32B,123,pinned,3477470.0,6.04504,0.1658,3485355.6222510403,58.87798514652862,True,,,0.9,34,38,"data_export/results_per_circuit_seed.csv (paper zero-shot eval, not re-run); vtr_seconds/cached null: not logged by that eval"
lightweight_cipher,7,pinned,336305.0,3.58417,0.02059,24818.6566691915,30.223853190985402,True,,,0.8,10,13,"data_export/results_per_circuit_seed.csv (paper zero-shot eval, not re-run); vtr_seconds/cached null: not logged by that eval"
lightweight_cipher,42,pinned,300614.0,3.55856,0.02004,21437.8492350336,39.72878808746763,True,,,0.9,10,11,"data_export/results_per_circuit_seed.csv (paper zero-shot eval, not re-run); vtr_seconds/cached null: not logged by that eval"
lightweight_cipher,123,pinned,336321.0,3.53812,0.02077,24715.138053920404,30.514889494557313,True,,,0.8,10,13,"data_export/results_per_circuit_seed.csv (paper zero-shot eval, not re-run); vtr_seconds/cached null: not logged by that eval"
reduction_layer,7,pinned,8209430.0,7.81703,0.1288,8265528.8443655195,28.89375193535369,True,,,0.9,32,36,"data_export/results_per_circuit_seed.csv (paper zero-shot eval, not re-run); vtr_seconds/cached null: not logged by that eval"
reduction_layer,42,pinned,8855260.0,7.84714,0.1313,9123835.44877532,21.50995793041336,True,,,0.9,32,36,"data_export/results_per_circuit_seed.csv (paper zero-shot eval, not re-run); vtr_seconds/cached null: not logged by that eval"
reduction_layer,123,pinned,9230760.0,7.37335,0.1375,9358473.333825001,19.491427722139992,True,,,0.9,32,36,"data_export/results_per_circuit_seed.csv (paper zero-shot eval, not re-run); vtr_seconds/cached null: not logged by that eval"
arm_core,7,pinned,9071400.0,19.762,0.0595,10666505.9046,6.993083178723758,True,,,0.9,32,36,"data_export/results_per_circuit_seed.csv (paper zero-shot eval, not re-run); vtr_seconds/cached null: not logged by that eval"
arm_core,42,pinned,8862920.0,19.4987,0.05851,10111430.11911604,11.833083069198413,True,,,0.9,32,36,"data_export/results_per_circuit_seed.csv (paper zero-shot eval, not re-run); vtr_seconds/cached null: not logged by that eval"
arm_core,123,pinned,9071590.0,19.2653,0.06003,10491257.17670481,8.521169695917106,True,,,0.9,32,36,"data_export/results_per_circuit_seed.csv (paper zero-shot eval, not re-run); vtr_seconds/cached null: not logged by that eval"
softmax,7,pinned,7429200.0,6.5186,0.06972,3376398.9831264005,5.648280594885477,True,,,0.9,36,40,"data_export/results_per_circuit_seed.csv (paper zero-shot eval, not re-run); vtr_seconds/cached null: not logged by that eval"
softmax,42,pinned,7429290.0,6.44575,0.0707,3385635.3634372503,5.390174734836533,True,,,0.9,36,40,"data_export/results_per_circuit_seed.csv (paper zero-shot eval, not re-run); vtr_seconds/cached null: not logged by that eval"
softmax,123,pinned,7251280.0,6.10175,0.07217,3193197.5718958,10.767749068082653,True,,,0.9,36,40,"data_export/results_per_circuit_seed.csv (paper zero-shot eval, not re-run); vtr_seconds/cached null: not logged by that eval"
custom_macbuf,123,unpinned,256780.0,13.3195,0.005261,17993.57334581,59.5679205274722,True,1.9,False,0.8,9,11,"data_export3/tools/f4.py; same baked arch as the policy's deterministic floorplan, VPR constraints file omitted"
custom_macbuf,42,unpinned,233450.0,13.5487,0.005118,16187.94746877,63.62521407084357,True,1.99,False,0.8,9,11,"data_export3/tools/f4.py; same baked arch as the policy's deterministic floorplan, VPR constraints file omitted"
custom_macbuf,7,unpinned,324673.0,14.1139,0.005555,25455.244524858495,42.80132968355787,True,2.38,False,0.8,10,13,"data_export3/tools/f4.py; same baked arch as the policy's deterministic floorplan, VPR constraints file omitted"
lightweight_cipher,7,unpinned,336305.0,3.71188,0.01982,24741.777783388,30.43999351210912,True,2.38,False,0.8,10,13,"data_export3/tools/f4.py; same baked arch as the policy's deterministic floorplan, VPR constraints file omitted"
lightweight_cipher,42,unpinned,300614.0,3.30419,0.02145,21305.979823557,40.09953093376484,True,3.09,False,0.9,10,11,"data_export3/tools/f4.py; same baked arch as the policy's deterministic floorplan, VPR constraints file omitted"
lightweight_cipher,123,unpinned,336321.0,3.56417,0.02058,24669.353398170602,30.643610275209554,True,2.41,False,0.8,10,13,"data_export3/tools/f4.py; same baked arch as the policy's deterministic floorplan, VPR constraints file omitted"
mkDelayWorker32B,7,unpinned,3189100.0,6.23211,0.1604,3187921.4489603993,62.3872662121113,True,19.23,False,0.9,34,38,"data_export3/tools/f4.py; same baked arch as the policy's deterministic floorplan, VPR constraints file omitted"
