circuit,source_verilog,baseline_built,core_grid_w,core_grid_h,num_clbs_packed,num_dsp,num_bram,num_io,occupancy,graph_nodes,graph_edges,fits_universe,reason_if_excluded,vtr_seconds,source
spmv,/home/digital-2/workspace/vtr-verilog-to-routing/vtr_flow/benchmarks/verilog/koios/spmv.v,True,98,98,462,32,197,99,0.07194918783840067,230,40190,False,core grid 98x98 exceeds the 48x48 canvas; 230 graph nodes exceeds MAX_NODES=67; 40190 graph edges exceeds MAX_EDGES=2694,163.42,data_export3/tools/f5_build.py; traditional VTR flow on arch/k6_frac_N10_mem32K_40nm.xml
conv_layer_hls,/home/digital-2/workspace/vtr-verilog-to-routing/vtr_flow/benchmarks/verilog/koios/conv_layer_hls.v,True,103,103,1797,2,21,3284,0.1715524554623433,24,468,False,core grid 103x103 exceeds the 48x48 canvas,133.61,data_export3/tools/f5_build.py; traditional VTR flow on arch/k6_frac_N10_mem32K_40nm.xml
blob_merge,/home/digital-2/workspace/vtr-verilog-to-routing/vtr_flow/benchmarks/verilog/blob_merge.v,True,28,28,566,0,0,136,0.7219387755102041,1,0,True,,39.5,data_export3/tools/f5_build.py; traditional VTR flow on arch/k6_frac_N10_mem32K_40nm.xml
sha,/home/digital-2/workspace/vtr-verilog-to-routing/vtr_flow/benchmarks/verilog/sha.v,True,15,15,151,0,0,74,0.6711111111111111,1,0,True,,7.88,data_export3/tools/f5_build.py; traditional VTR flow on arch/k6_frac_N10_mem32K_40nm.xml
eltwise_layer,/home/digital-2/workspace/vtr-verilog-to-routing/vtr_flow/benchmarks/verilog/koios/eltwise_layer.v,False,,,,,,,,,,,traditional VTR flow failed (rc=1),267.77,data_export3/tools/f5_build.py; traditional VTR flow on arch/k6_frac_N10_mem32K_40nm.xml
conv_layer,/home/digital-2/workspace/vtr-verilog-to-routing/vtr_flow/benchmarks/verilog/koios/conv_layer.v,False,,,,,,,,,,,traditional VTR flow failed (rc=1),275.14,data_export3/tools/f5_build.py; traditional VTR flow on arch/k6_frac_N10_mem32K_40nm.xml
stereovision0,/home/digital-2/workspace/vtr-verilog-to-routing/vtr_flow/benchmarks/verilog/stereovision0.v,True,32,32,761,0,0,366,0.7431640625,1,0,True,,50.17,data_export3/tools/f5_build.py; traditional VTR flow on arch/k6_frac_N10_mem32K_40nm.xml
bgm,/home/digital-2/workspace/vtr-verilog-to-routing/vtr_flow/benchmarks/verilog/bgm.v,True,20,20,300,0,0,289,0.75,1,0,True,,29.79,data_export3/tools/f5_build.py; traditional VTR flow on arch/k6_frac_N10_mem32K_40nm.xml
stereovision1,/home/digital-2/workspace/vtr-verilog-to-routing/vtr_flow/benchmarks/verilog/stereovision1.v,True,38,38,777,44,0,258,0.5685595567867036,45,1980,True,,71.27,data_export3/tools/f5_build.py; traditional VTR flow on arch/k6_frac_N10_mem32K_40nm.xml
attention_layer,/home/digital-2/workspace/vtr-verilog-to-routing/vtr_flow/benchmarks/verilog/koios/attention_layer.v,True,74,74,1269,98,117,1084,0.2710007304601899,216,23508,False,core grid 74x74 exceeds the 48x48 canvas; 216 graph nodes exceeds MAX_NODES=67; 23508 graph edges exceeds MAX_EDGES=2694,321.27,data_export3/tools/f5_build.py; traditional VTR flow on arch/k6_frac_N10_mem32K_40nm.xml
lenet,/home/digital-2/workspace/vtr-verilog-to-routing/vtr_flow/benchmarks/verilog/koios/lenet.v,True,41,41,1250,1,0,76,0.7441998810232004,2,2,True,,1291.17,data_export3/tools/f5_build.py; traditional VTR flow on arch/k6_frac_N10_mem32K_40nm.xml
