circuit,source_verilog,baseline_built,core_grid_w,core_grid_h,num_clbs_packed,num_dsp,num_bram,num_io,occupancy,graph_nodes,graph_edges,fits_universe,reason_if_excluded,vtr_seconds,source
mips_16,/home/digital-2/workspace/vtr-verilog-to-routing/vtr_flow/benchmarks/freecores/mips_16.v,True,1,1,1,0,0,10,1.0,1,0,True,,0.46,data_export3/tools/f5_build.py; traditional VTR flow on arch/k6_frac_N10_mem32K_40nm.xml
xtea,/home/digital-2/workspace/vtr-verilog-to-routing/vtr_flow/benchmarks/freecores/xtea.v,True,9,9,61,0,0,260,0.7530864197530864,1,0,True,,3.27,data_export3/tools/f5_build.py; traditional VTR flow on arch/k6_frac_N10_mem32K_40nm.xml
ethmac,/home/digital-2/workspace/vtr-verilog-to-routing/vtr_flow/benchmarks/freecores/ethmac.v,False,,,,,,,,,,,traditional VTR flow failed (rc=1),5.37,data_export3/tools/f5_build.py; traditional VTR flow on arch/k6_frac_N10_mem32K_40nm.xml
enet_core,/home/digital-2/workspace/vtr-verilog-to-routing/vtr_flow/benchmarks/ultraembedded/enet_core.v,False,,,,,,,,,,,traditional VTR flow failed (rc=1),1.62,data_export3/tools/f5_build.py; traditional VTR flow on arch/k6_frac_N10_mem32K_40nm.xml
8051,/home/digital-2/workspace/vtr-verilog-to-routing/vtr_flow/benchmarks/freecores/8051.v,True,17,17,193,1,1,161,0.6747404844290658,3,6,True,,15.12,data_export3/tools/f5_build.py; traditional VTR flow on arch/k6_frac_N10_mem32K_40nm.xml
uriscv_core,/home/digital-2/workspace/vtr-verilog-to-routing/vtr_flow/benchmarks/ultraembedded/uriscv_core.v,True,16,16,182,1,1,254,0.71875,3,4,True,,10.64,data_export3/tools/f5_build.py; traditional VTR flow on arch/k6_frac_N10_mem32K_40nm.xml
soc_core,/home/digital-2/workspace/vtr-verilog-to-routing/vtr_flow/benchmarks/ultraembedded/soc_core.v,True,22,22,131,0,0,699,0.2706611570247934,1,0,True,,11.08,data_export3/tools/f5_build.py; traditional VTR flow on arch/k6_frac_N10_mem32K_40nm.xml
usb_uart_core,/home/digital-2/workspace/vtr-verilog-to-routing/vtr_flow/benchmarks/ultraembedded/usb_uart_core.v,True,11,11,75,0,2,23,0.6363636363636364,3,6,True,,4.57,data_export3/tools/f5_build.py; traditional VTR flow on arch/k6_frac_N10_mem32K_40nm.xml
aes_cipher,/home/digital-2/workspace/vtr-verilog-to-routing/vtr_flow/benchmarks/freecores/aes_cipher.v,True,31,31,708,0,0,387,0.736732570239334,1,0,True,,46.79,data_export3/tools/f5_build.py; traditional VTR flow on arch/k6_frac_N10_mem32K_40nm.xml
aes_inv_cipher,/home/digital-2/workspace/vtr-verilog-to-routing/vtr_flow/benchmarks/freecores/aes_inv_cipher.v,True,32,32,732,0,4,389,0.71875,5,20,True,,49.43,data_export3/tools/f5_build.py; traditional VTR flow on arch/k6_frac_N10_mem32K_40nm.xml
