circuit,split,seed,baseline_area_mwta,baseline_delay_ns,baseline_power_w,baseline_adp,policy_area_mwta,policy_delay_ns,policy_power_w,policy_adp,adp_reduction_pct,policy_aspect_ratio,policy_grid_w,policy_grid_h,baseline_grid_w,baseline_grid_h,num_clbs_packed,num_dsp,num_bram,num_io,core_grid_w,core_grid_h,occupancy,vtr_success,vtr_seconds,cached,how_obtained,source
uriscv_core,heldout_extra,123,1265100.0,9.10939,0.0148,170559.4814772,1165430.0,8.51222,0.01479,146722.66504253398,13.975661879490687,0.8,14,18,18,18,182,1,1,254,16,16,0.71875,True,13.29,False,final_checkpoint_deterministic,"data_export3/tools/f5_eval.py; baseline from data_export3/tools/f5_build.py (traditional VTR flow, stock arch)"
uriscv_core,heldout_extra,7,1265100.0,9.10939,0.0148,170559.4814772,1165430.0,8.64988,0.01471,148289.004127964,13.057308310481153,0.8,14,18,18,18,182,1,1,254,16,16,0.71875,True,13.91,False,final_checkpoint_deterministic,"data_export3/tools/f5_eval.py; baseline from data_export3/tools/f5_build.py (traditional VTR flow, stock arch)"
uriscv_core,heldout_extra,42,1265100.0,9.10939,0.0148,170559.4814772,1182110.0,8.68229,0.01473,151180.20358388702,11.362181524867939,0.9,15,17,18,18,182,1,1,254,16,16,0.71875,True,13.98,False,final_checkpoint_deterministic,"data_export3/tools/f5_eval.py; baseline from data_export3/tools/f5_build.py (traditional VTR flow, stock arch)"
8051,heldout_extra,7,1557310.0,13.4425,0.01228,257071.235209,1355820.0,13.0924,0.01176,208751.02815168,18.79642699737895,0.8,15,19,19,19,193,1,1,161,17,17,0.6747404844290658,True,17.86,False,final_checkpoint_deterministic,"data_export3/tools/f5_eval.py; baseline from data_export3/tools/f5_build.py (traditional VTR flow, stock arch)"
8051,heldout_extra,42,1557310.0,13.4425,0.01228,257071.235209,1373560.0,13.0822,0.01186,213114.55345552,17.0990277141443,0.9,16,18,19,19,193,1,1,161,17,17,0.6747404844290658,True,19.2,False,final_checkpoint_deterministic,"data_export3/tools/f5_eval.py; baseline from data_export3/tools/f5_build.py (traditional VTR flow, stock arch)"
usb_uart_core,heldout_extra,7,384612.0,4.40995,0.01307,22168.284340458,342221.0,4.18573,0.0132,18908.270123556,14.705757860351621,0.8,10,13,13,13,75,0,2,23,11,11,0.6363636363636364,True,8.0,False,final_checkpoint_deterministic,"data_export3/tools/f5_eval.py; baseline from data_export3/tools/f5_build.py (traditional VTR flow, stock arch)"
usb_uart_core,heldout_extra,123,384612.0,4.40995,0.01307,22168.284340458,342201.0,4.46503,0.01246,19038.1041286338,14.120083285432683,0.8,10,13,13,13,75,0,2,23,11,11,0.6363636363636364,True,9.3,False,final_checkpoint_deterministic,"data_export3/tools/f5_eval.py; baseline from data_export3/tools/f5_build.py (traditional VTR flow, stock arch)"
8051,heldout_extra,123,1557310.0,13.4425,0.01228,257071.235209,1755930.0,13.2745,0.01344,313274.2070304,-21.862800704134298,1.0,19,19,19,19,193,1,1,161,17,17,0.6747404844290658,True,23.19,False,final_checkpoint_deterministic,"data_export3/tools/f5_eval.py; baseline from data_export3/tools/f5_build.py (traditional VTR flow, stock arch)"
usb_uart_core,heldout_extra,42,384612.0,4.40995,0.01307,22168.284340458,342126.0,4.46389,0.01248,19059.6161201472,14.023043788902326,0.8,10,13,13,13,75,0,2,23,11,11,0.6363636363636364,True,9.66,False,final_checkpoint_deterministic,"data_export3/tools/f5_eval.py; baseline from data_export3/tools/f5_build.py (traditional VTR flow, stock arch)"
aes_inv_cipher,heldout_extra,7,4692090.0,7.57117,0.0807,2866836.11135571,4476100.0,6.75033,0.08559,2586114.8693516697,9.792022672383904,0.9,29,32,34,34,732,0,4,389,32,32,0.71875,True,69.22,False,final_checkpoint_deterministic,"data_export3/tools/f5_eval.py; baseline from data_export3/tools/f5_build.py (traditional VTR flow, stock arch)"
aes_inv_cipher,heldout_extra,123,4692090.0,7.57117,0.0807,2866836.11135571,4579730.0,6.9965,0.0848,2717168.4641360003,5.220655852173309,0.9,29,32,34,34,732,0,4,389,32,32,0.71875,True,70.15,False,final_checkpoint_deterministic,"data_export3/tools/f5_eval.py; baseline from data_export3/tools/f5_build.py (traditional VTR flow, stock arch)"
aes_inv_cipher,heldout_extra,42,4692090.0,7.57117,0.0807,2866836.11135571,4374200.0,6.78805,0.08463,2512858.3596753003,12.34733127151156,0.9,29,32,34,34,732,0,4,389,32,32,0.71875,True,77.58,False,final_checkpoint_deterministic,"data_export3/tools/f5_eval.py; baseline from data_export3/tools/f5_build.py (traditional VTR flow, stock arch)"
stereovision1,heldout_extra,7,7772740.0,5.59724,0.0976,4246174.98478976,9576050.0,5.72392,0.1113,6100636.1601108,-43.67368707045547,0.9,32,36,40,40,777,44,0,258,38,38,0.5685595567867036,True,115.34,False,final_checkpoint_deterministic,"data_export3/tools/f5_eval.py; baseline from data_export3/tools/f5_build.py (traditional VTR flow, stock arch)"
stereovision1,heldout_extra,123,7772740.0,5.59724,0.0976,4246174.98478976,10557400.0,5.82417,0.1167,7175660.378178599,-68.99116037098237,0.9,32,36,40,40,777,44,0,258,38,38,0.5685595567867036,True,134.05,False,final_checkpoint_deterministic,"data_export3/tools/f5_eval.py; baseline from data_export3/tools/f5_build.py (traditional VTR flow, stock arch)"
stereovision1,heldout_extra,42,7772740.0,5.59724,0.0976,4246174.98478976,10431100.0,5.85723,0.1149,7020085.727909701,-65.3272828617845,0.9,32,36,40,40,777,44,0,258,38,38,0.5685595567867036,True,142.22,False,final_checkpoint_deterministic,"data_export3/tools/f5_eval.py; baseline from data_export3/tools/f5_build.py (traditional VTR flow, stock arch)"
lenet,heldout_extra,7,12370400.0,9.28646,0.05862,6734102.91683808,11356100.0,8.78751,0.05865,5852791.551540149,13.087286846987183,0.9,36,40,43,43,1250,1,0,76,41,41,0.7441998810232004,True,1368.47,False,final_checkpoint_deterministic,"data_export3/tools/f5_eval.py; baseline from data_export3/tools/f5_build.py (traditional VTR flow, stock arch)"
lenet,heldout_extra,42,12370400.0,9.28646,0.05862,6734102.91683808,11565600.0,8.78244,0.05885,5977640.9675664,11.233299499777587,0.9,36,40,43,43,1250,1,0,76,41,41,0.7441998810232004,True,1375.62,False,final_checkpoint_deterministic,"data_export3/tools/f5_eval.py; baseline from data_export3/tools/f5_build.py (traditional VTR flow, stock arch)"
