seed,update_index,timesteps,policy_entropy,explained_variance,value_loss,mean_episode_reward,source
7,1,1152,4.781244,-0.005304,1.736644,-0.649,runs/train_multi11_seed7.log:1168 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,16,2304,4.949024,0.15722,0.184862,-0.401,runs/train_multi11_seed7.log:1706 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,31,3456,4.961578,0.222245,0.318767,-0.415,runs/train_multi11_seed7.log:4172 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,46,4608,4.790871,0.403171,0.21761,-0.397,runs/train_multi11_seed7.log:5500 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,61,5760,4.948949,0.470921,0.144086,-0.313,runs/train_multi11_seed7.log:5862 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,76,6912,4.80793,0.670653,0.121361,-0.266,runs/train_multi11_seed7.log:6708 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,91,8064,4.84321,0.670006,0.094187,-0.27,runs/train_multi11_seed7.log:9312 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,106,9216,4.726772,0.698252,0.09616,-0.186,runs/train_multi11_seed7.log:9720 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,121,10368,4.391687,0.514282,0.079456,-0.225,runs/train_multi11_seed7.log:10082 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,136,11520,4.328673,0.441006,0.049558,-0.142,runs/train_multi11_seed7.log:12473 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,151,12672,4.385678,0.572125,0.048667,-0.129,runs/train_multi11_seed7.log:13546 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,166,13824,4.319148,0.402234,0.036525,-0.0493,runs/train_multi11_seed7.log:13992 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,181,14976,4.249967,0.240914,0.039687,-0.0754,runs/train_multi11_seed7.log:14980 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,196,16128,4.238941,0.474542,0.046106,-0.092,runs/train_multi11_seed7.log:17043 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,211,17280,4.199472,0.319432,0.048649,-0.052,runs/train_multi11_seed7.log:17437 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,226,18432,4.112778,0.428986,0.040894,0.00249,runs/train_multi11_seed7.log:18132 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,241,19584,4.156817,0.607476,0.038935,-0.0405,runs/train_multi11_seed7.log:19386 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,256,20736,4.227901,0.713242,0.041554,-0.00934,runs/train_multi11_seed7.log:21192 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,271,21888,3.998042,0.68499,0.035959,0.016,runs/train_multi11_seed7.log:21719 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,286,23040,3.848461,0.540742,0.043282,0.0686,runs/train_multi11_seed7.log:22647 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,301,24192,4.016834,0.687261,0.037012,0.0134,runs/train_multi11_seed7.log:24494 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,316,25344,3.942388,0.662504,0.027853,0.0502,runs/train_multi11_seed7.log:25345 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,331,26496,3.582424,0.709928,0.032422,0.108,runs/train_multi11_seed7.log:26030 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,346,27648,3.821152,0.822407,0.021129,0.135,runs/train_multi11_seed7.log:26862 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,361,28800,3.556679,0.804969,0.045007,0.112,runs/train_multi11_seed7.log:28830 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,376,29952,3.665775,0.794542,0.026632,0.118,runs/train_multi11_seed7.log:29625 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,391,31104,3.638069,0.808978,0.018091,0.225,runs/train_multi11_seed7.log:30118 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,406,32256,3.658389,0.777421,0.0237,0.125,runs/train_multi11_seed7.log:31568 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,421,33408,3.703531,0.831359,0.030512,0.168,runs/train_multi11_seed7.log:33129 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,436,34560,3.596569,0.806044,0.021708,0.198,runs/train_multi11_seed7.log:33698 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,451,35712,3.8271,0.780409,0.021328,0.127,runs/train_multi11_seed7.log:34392 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,466,36864,3.689617,0.772382,0.023209,0.116,runs/train_multi11_seed7.log:35687 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,481,38016,3.519159,0.851845,0.02363,0.147,runs/train_multi11_seed7.log:37225 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,496,39168,3.543579,0.883926,0.011725,0.187,runs/train_multi11_seed7.log:37677 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,511,40320,3.499427,0.857878,0.017103,0.135,runs/train_multi11_seed7.log:38249 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,526,41472,3.670056,0.817916,0.019307,0.13,runs/train_multi11_seed7.log:39785 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,541,42624,3.514875,0.838473,0.019528,0.22,runs/train_multi11_seed7.log:41245 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,556,43776,3.545699,0.895295,0.026979,0.163,runs/train_multi11_seed7.log:41752 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,571,44928,3.526798,0.915978,0.008699,0.16,runs/train_multi11_seed7.log:42657 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,586,46080,3.537032,0.905142,0.008909,0.165,runs/train_multi11_seed7.log:44050 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,601,47232,3.418159,0.911914,0.008359,0.227,runs/train_multi11_seed7.log:45082 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,616,48384,3.562445,0.906602,0.013207,0.204,runs/train_multi11_seed7.log:45753 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,631,49536,3.560659,0.846863,0.017534,0.224,runs/train_multi11_seed7.log:46766 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,646,50688,3.513198,0.892979,0.012216,0.22,runs/train_multi11_seed7.log:47930 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,661,51840,3.631938,0.883707,0.011095,0.184,runs/train_multi11_seed7.log:49116 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,676,52992,3.450049,0.851582,0.01366,0.236,runs/train_multi11_seed7.log:49769 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,691,54144,3.375566,0.915273,0.008172,0.199,runs/train_multi11_seed7.log:50792 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,706,55296,3.420116,0.931718,0.014599,0.25,runs/train_multi11_seed7.log:52307 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,721,56448,3.321327,0.769248,0.024693,0.22,runs/train_multi11_seed7.log:52962 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,736,57600,3.123703,0.910199,0.010468,0.24,runs/train_multi11_seed7.log:53656 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,751,58752,2.981719,0.872712,0.012715,0.201,runs/train_multi11_seed7.log:54892 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,766,59904,3.166361,0.867414,0.014388,0.245,runs/train_multi11_seed7.log:56351 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,781,61056,3.247655,0.941424,0.006929,0.205,runs/train_multi11_seed7.log:57130 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,796,62208,3.227175,0.93857,0.005498,0.2,runs/train_multi11_seed7.log:58233 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,811,63360,3.0931,0.959718,0.003979,0.193,runs/train_multi11_seed7.log:59227 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,826,64512,3.142433,0.901091,0.008548,0.198,runs/train_multi11_seed7.log:60306 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,841,65664,3.259559,0.93663,0.00617,0.257,runs/train_multi11_seed7.log:60979 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,856,66816,3.204233,0.914279,0.008556,0.206,runs/train_multi11_seed7.log:61965 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,871,67968,3.232848,0.916191,0.008824,0.277,runs/train_multi11_seed7.log:63376 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,886,69120,3.177761,0.876535,0.011221,0.241,runs/train_multi11_seed7.log:64370 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
7,901,70272,3.186573,0.925273,0.007213,0.247,runs/train_multi11_seed7.log:66497 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,1,1152,4.926015,0.034694,0.578262,-0.791,runs/train_multi11_seed42_v2.log:1001 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,16,2304,4.985352,0.397936,0.255923,-0.468,runs/train_multi11_seed42_v2.log:1654 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,31,3456,4.95226,0.643043,0.26792,-0.549,runs/train_multi11_seed42_v2.log:2246 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,46,4608,4.886019,0.673249,0.118336,-0.294,runs/train_multi11_seed42_v2.log:4878 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,61,5760,4.709134,0.490438,0.098056,-0.212,runs/train_multi11_seed42_v2.log:5436 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,76,6912,4.711663,0.630384,0.064326,-0.186,runs/train_multi11_seed42_v2.log:5798 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,91,8064,4.72948,0.490831,0.076561,-0.147,runs/train_multi11_seed42_v2.log:6607 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,106,9216,4.683119,0.242428,0.061807,-0.0984,runs/train_multi11_seed42_v2.log:8934 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,121,10368,4.606165,0.699582,0.056639,-0.144,runs/train_multi11_seed42_v2.log:9427 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,136,11520,4.485015,0.292399,0.041285,-0.0452,runs/train_multi11_seed42_v2.log:9766 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,151,12672,4.538757,0.318312,0.04199,-0.0559,runs/train_multi11_seed42_v2.log:10870 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,166,13824,4.501108,0.47172,0.06383,-0.0449,runs/train_multi11_seed42_v2.log:13242 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,181,14976,4.312899,0.425247,0.051023,0.0325,runs/train_multi11_seed42_v2.log:13604 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,196,16128,4.475702,0.604358,0.037899,0.00248,runs/train_multi11_seed42_v2.log:14136 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,211,17280,4.431832,0.285431,0.053002,0.032,runs/train_multi11_seed42_v2.log:15930 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,226,18432,4.221464,0.481404,0.051886,0.0168,runs/train_multi11_seed42_v2.log:17376 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,241,19584,4.257149,0.385803,0.080842,0.0289,runs/train_multi11_seed42_v2.log:17715 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,256,20736,4.292923,0.537318,0.037992,0.0373,runs/train_multi11_seed42_v2.log:18162 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,271,21888,4.186923,0.503815,0.041749,0.0785,runs/train_multi11_seed42_v2.log:20524 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,286,23040,4.160139,0.666736,0.023577,0.0446,runs/train_multi11_seed42_v2.log:21420 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,301,24192,3.916852,0.568416,0.039802,0.0519,runs/train_multi11_seed42_v2.log:21822 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,316,25344,4.055486,0.642114,0.026868,0.121,runs/train_multi11_seed42_v2.log:23474 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,331,26496,4.137946,0.550342,0.034247,0.134,runs/train_multi11_seed42_v2.log:24727 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,346,27648,3.99681,0.664333,0.027429,0.158,runs/train_multi11_seed42_v2.log:25519 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,361,28800,3.957976,0.777496,0.019838,0.122,runs/train_multi11_seed42_v2.log:25797 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
42,376,29952,3.971574,0.640422,0.051441,0.0966,runs/train_multi11_seed42_v2.log:27783 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
