circuit,aspect_ratio,planned_core_w,planned_core_h,grid_w,grid_h,area_mwta,delay_ns,power_w,adp,adp_reduction_pct_vs_baseline,vtr_success,vtr_seconds,dsp_coords,bram_coords,note,cached,source
usb_uart_core,0.4,6,15,8,20,406401.0,4.39264,0.01327,23689.2495402528,-6.860996441745275,True,4.37,[],"[[2, 1], [2, 7]]",,False,"data_export/tools/c2_perar.py:run_one (per-AR tile placement), baseline from data_export3/tools/f5_build.py"
usb_uart_core,0.6,8,13,9,15,354938.0,4.40636,0.01271,19878.244338192802,10.330253650192429,True,4.37,[],"[[2, 1], [2, 7]]",,False,"data_export/tools/c2_perar.py:run_one (per-AR tile placement), baseline from data_export3/tools/f5_build.py"
usb_uart_core,0.2,4,22,6,30,480814.0,4.31144,0.0139,28814.709899024,-29.98168670381049,True,4.52,[],"[[2, 1], [2, 7]]",,False,"data_export/tools/c2_perar.py:run_one (per-AR tile placement), baseline from data_export3/tools/f5_build.py"
usb_uart_core,0.5,7,14,9,18,417666.0,4.24183,0.01378,24413.587365788404,-10.128447428981389,True,4.53,[],"[[2, 1], [2, 7]]",,False,"data_export/tools/c2_perar.py:run_one (per-AR tile placement), baseline from data_export3/tools/f5_build.py"
usb_uart_core,0.3,5,18,7,23,418449.0,4.41963,0.01317,24356.463058467896,-9.870762592197455,True,4.82,[],"[[2, 1], [2, 7]]",,False,"data_export/tools/c2_perar.py:run_one (per-AR tile placement), baseline from data_export3/tools/f5_build.py"
usb_uart_core,0.1,3,29,5,50,714810.0,4.40172,0.0152,47825.18079264,-115.73695130460383,True,4.88,[],"[[2, 1], [2, 7]]",,False,"data_export/tools/c2_perar.py:run_one (per-AR tile placement), baseline from data_export3/tools/f5_build.py"
usb_uart_core,0.7,8,12,10,14,357009.0,4.45078,0.01273,20227.5692216646,8.754466917638371,True,4.23,[],"[[2, 1], [2, 7]]",,False,"data_export/tools/c2_perar.py:run_one (per-AR tile placement), baseline from data_export3/tools/f5_build.py"
usb_uart_core,0.8,10,12,11,14,385627.0,4.21997,0.01365,22213.114166743504,-0.2022250598964311,True,4.43,[],"[[2, 1], [2, 7]]",,False,"data_export/tools/c2_perar.py:run_one (per-AR tile placement), baseline from data_export3/tools/f5_build.py"
usb_uart_core,1.0,10,10,12,12,370010.0,4.22577,0.01344,21014.476999488,5.204766066917757,True,4.28,[],"[[2, 1], [10, 1]]",,False,"data_export/tools/c2_perar.py:run_one (per-AR tile placement), baseline from data_export3/tools/f5_build.py"
usb_uart_core,0.9,10,11,12,13,391805.0,4.40646,0.0133,22962.09170199,-3.580824520927264,True,4.43,[],"[[2, 1], [10, 1]]",,False,"data_export/tools/c2_perar.py:run_one (per-AR tile placement), baseline from data_export3/tools/f5_build.py"
usb_uart_core,1.1,10,9,12,11,348545.0,4.16076,0.01329,19273.318731918,13.059042206782662,True,4.32,[],"[[2, 1], [10, 1]]",,False,"data_export/tools/c2_perar.py:run_one (per-AR tile placement), baseline from data_export3/tools/f5_build.py"
usb_uart_core,1.2,11,9,13,11,382718.0,4.18984,0.01353,21695.7228146736,2.1317009405277094,True,4.38,[],"[[2, 1], [10, 1]]",,False,"data_export/tools/c2_perar.py:run_one (per-AR tile placement), baseline from data_export3/tools/f5_build.py"
usb_uart_core,1.3,12,9,13,10,342075.0,4.24858,0.01296,18835.195725359998,15.035392743564662,True,4.32,[],"[[2, 1], [10, 1]]",,False,"data_export/tools/c2_perar.py:run_one (per-AR tile placement), baseline from data_export3/tools/f5_build.py"
usb_uart_core,1.4,11,8,14,10,357052.0,4.3096,0.01312,20188.417045503997,8.931080387401332,True,4.22,[],"[[2, 1], [10, 1]]",,False,"data_export/tools/c2_perar.py:run_one (per-AR tile placement), baseline from data_export3/tools/f5_build.py"
usb_uart_core,1.5,12,8,15,10,386212.0,4.542,0.01277,22400.81352408,-1.0489272875196007,True,4.27,[],"[[2, 1], [10, 1]]",,False,"data_export/tools/c2_perar.py:run_one (per-AR tile placement), baseline from data_export3/tools/f5_build.py"
usb_uart_core,1.6,13,8,15,9,354884.0,4.19423,0.01329,19781.7014357628,10.765753759029485,True,4.37,[],"[[2, 1], [10, 1]]",,False,"data_export/tools/c2_perar.py:run_one (per-AR tile placement), baseline from data_export3/tools/f5_build.py"
usb_uart_core,1.7,14,8,15,9,354884.0,4.19423,0.01329,19781.7014357628,10.765753759029485,True,4.37,[],"[[2, 1], [10, 1]]",,False,"data_export/tools/c2_perar.py:run_one (per-AR tile placement), baseline from data_export3/tools/f5_build.py"
usb_uart_core,1.8,13,7,16,9,381669.0,4.33439,0.01317,21787.1612503047,1.7192268210749035,True,4.48,[],"[[2, 1], [10, 1]]",,False,"data_export/tools/c2_perar.py:run_one (per-AR tile placement), baseline from data_export3/tools/f5_build.py"
usb_uart_core,1.9,13,7,17,9,391896.0,4.31193,0.01334,22542.3071111952,-1.687197642329917,True,4.27,[],"[[2, 1], [10, 1]]",,False,"data_export/tools/c2_perar.py:run_one (per-AR tile placement), baseline from data_export3/tools/f5_build.py"
usb_uart_core,2.0,14,7,17,9,391896.0,4.31193,0.01334,22542.3071111952,-1.687197642329917,True,4.27,[],"[[2, 1], [10, 1]]",,False,"data_export/tools/c2_perar.py:run_one (per-AR tile placement), baseline from data_export3/tools/f5_build.py"
uriscv_core,0.3,8,25,9,30,1312150.0,8.88665,0.01499,174792.66078452498,-2.4819372518383673,True,10.49,"[[6, 1]]","[[2, 1]]",,False,"data_export/tools/c2_perar.py:run_one (per-AR tile placement), baseline from data_export3/tools/f5_build.py"
uriscv_core,0.4,9,22,11,28,1476720.0,8.65833,0.0164,209689.23687264,-22.941999504536945,True,12.14,"[[6, 1]]","[[2, 1]]",,False,"data_export/tools/c2_perar.py:run_one (per-AR tile placement), baseline from data_export3/tools/f5_build.py"
uriscv_core,0.2,6,32,8,40,1784210.0,8.78292,0.01742,272981.39373554406,-60.0505532564225,True,14.09,"[[6, 1]]","[[2, 1]]",,False,"data_export/tools/c2_perar.py:run_one (per-AR tile placement), baseline from data_export3/tools/f5_build.py"
uriscv_core,0.1,6,55,8,80,3371330.0,9.01276,0.02345,712527.97260526,-317.7592277099583,True,14.95,"[[6, 1]]","[[2, 1]]",,False,"data_export/tools/c2_perar.py:run_one (per-AR tile placement), baseline from data_export3/tools/f5_build.py"
uriscv_core,0.6,11,18,13,22,1301840.0,8.83942,0.01534,176525.211573152,-3.4977416935624763,True,11.09,"[[6, 1]]","[[2, 1]]",,False,"data_export/tools/c2_perar.py:run_one (per-AR tile placement), baseline from data_export3/tools/f5_build.py"
uriscv_core,0.5,10,20,12,24,1383850.0,8.76555,0.01579,191535.95854282498,-12.29862853941021,True,11.59,"[[6, 1]]","[[2, 1]]",,False,"data_export/tools/c2_perar.py:run_one (per-AR tile placement), baseline from data_export3/tools/f5_build.py"
uriscv_core,0.7,12,17,14,20,1306630.0,8.70585,0.01539,175066.24844884497,-2.642343265007773,True,11.09,"[[6, 1]]","[[2, 1]]",,False,"data_export/tools/c2_perar.py:run_one (per-AR tile placement), baseline from data_export3/tools/f5_build.py"
uriscv_core,0.8,13,16,14,18,1138230.0,8.59665,0.01491,145893.827098845,14.461614308819435,True,10.29,"[[6, 1]]","[[2, 1]]",,False,"data_export/tools/c2_perar.py:run_one (per-AR tile placement), baseline from data_export3/tools/f5_build.py"
uriscv_core,0.9,14,15,15,17,1154560.0,8.80335,0.01462,148597.61824512001,12.876366087578539,True,10.49,"[[6, 1]]","[[2, 1]]",,False,"data_export/tools/c2_perar.py:run_one (per-AR tile placement), baseline from data_export3/tools/f5_build.py"
uriscv_core,1.0,14,14,16,16,1187590.0,8.88144,0.01468,154837.43695852798,9.217924669156377,True,10.59,"[[6, 1]]","[[2, 1]]",,False,"data_export/tools/c2_perar.py:run_one (per-AR tile placement), baseline from data_export3/tools/f5_build.py"
uriscv_core,1.1,15,14,17,15,1154600.0,9.26632,0.01407,150533.42552304,11.741391203066616,True,10.49,"[[6, 1]]","[[2, 1]]",,False,"data_export/tools/c2_perar.py:run_one (per-AR tile placement), baseline from data_export3/tools/f5_build.py"
uriscv_core,1.2,16,13,18,15,1228920.0,8.77398,0.01509,162708.219279144,4.603239954798729,True,11.34,"[[6, 1]]","[[2, 1]]",,False,"data_export/tools/c2_perar.py:run_one (per-AR tile placement), baseline from data_export3/tools/f5_build.py"
uriscv_core,1.3,16,12,18,14,1184640.0,9.14267,0.01434,155313.278923392,8.938935802197586,True,10.74,"[[6, 1]]","[[2, 1]]",,False,"data_export/tools/c2_perar.py:run_one (per-AR tile placement), baseline from data_export3/tools/f5_build.py"
uriscv_core,1.4,17,12,19,14,1235990.0,9.17664,0.01462,165823.479700032,2.7767449432596236,True,10.44,"[[6, 1]]","[[2, 1]]",,False,"data_export/tools/c2_perar.py:run_one (per-AR tile placement), baseline from data_export3/tools/f5_build.py"
