circuit,set,seed,forced_aspect_ratio,grid_w,grid_h,area_mwta,delay_ns,power_w,adp,adp_reduction_pct,vtr_success,vtr_seconds,cached,dsp_coords,bram_coords,source
custom_macbuf,original,7,0.6,8,13,245839.0,13.9828,0.005076,17448.839181259198,60.791953942583035,True,1.44,False,"[[5, 4], [1, 8], [2, 3]]","[[6, 4]]",step 0 forced to the best AR of baseline_ar_sweep_perar.csv; policy (runs/ checkpoint for seed 7) places H-blocks deterministically
custom_macbuf,original,42,0.6,9,15,336573.0,13.2258,0.005803,25831.748005270198,41.955315478978875,True,1.84,False,"[[3, 6], [2, 6], [6, 4]]","[[7, 2]]",step 0 forced to the best AR of baseline_ar_sweep_perar.csv; policy (runs/ checkpoint for seed 42) places H-blocks deterministically
custom_macbuf,original,123,0.6,8,13,298899.0,13.3872,0.005352,21415.603547865598,51.87851973821091,True,1.66,False,"[[2, 3], [6, 3], [3, 4]]","[[5, 4]]",step 0 forced to the best AR of baseline_ar_sweep_perar.csv; policy (runs/ checkpoint for seed 123) places H-blocks deterministically
mkDelayWorker32B,original,7,0.1,27,270,19388700.0,11.2415,0.2038,44419854.879990004,-424.08825099581907,True,49.03,False,[],"[[13, 14], [19, 12], [14, 14], [1, 9], [17, 15], [7, 16], [22, 10], [7, 10], [10, 14], [6, 2], [2, 18], [15, 11], [9, 18], [6, 18], [2, 6], [22, 17], [11, 17], [3, 4], [21, 6], [4, 4], [18, 14], [5, 15], [7, 4], [9, 4], [20, 5], [19, 4], [23, 18], [12, 14], [23, 6], [20, 13], [8, 16], [16, 20], [12, 5], [4, 12], [22, 3], [8, 2], [5, 5], [13, 3], [21, 18], [25, 3], [24, 13], [13, 20], [16, 11]]",step 0 forced to the best AR of baseline_ar_sweep_perar.csv; policy (runs/ checkpoint for seed 7) places H-blocks deterministically
mkDelayWorker32B,original,42,0.1,28,280,22763100.0,7.04782,0.2976,47744036.877139196,-463.3086566811719,True,54.39,False,[],"[[1, 9], [7, 2], [2, 6], [3, 6], [6, 4], [5, 6], [12, 20], [15, 14], [20, 18], [22, 4], [4, 5], [14, 21], [16, 18], [8, 19], [22, 11], [3, 17], [13, 15], [8, 4], [19, 3], [5, 18], [12, 14], [6, 18], [18, 15], [21, 3], [22, 17], [23, 3], [9, 14], [11, 14], [2, 15], [26, 2], [17, 17], [19, 10], [20, 10], [10, 19], [4, 14], [20, 2], [1, 21], [15, 8], [21, 15], [24, 2], [19, 16], [7, 14], [23, 10]]",step 0 forced to the best AR of baseline_ar_sweep_perar.csv; policy (runs/ checkpoint for seed 42) places H-blocks deterministically
lightweight_cipher,original,7,0.3,8,27,609507.0,3.53037,0.02351,50588.47070064089,-42.22641480967966,True,3.13,False,[],"[[6, 4], [2, 3], [5, 4]]",step 0 forced to the best AR of baseline_ar_sweep_perar.csv; policy (runs/ checkpoint for seed 7) places H-blocks deterministically
lightweight_cipher,original,42,0.3,9,30,720665.0,3.57237,0.0247,63589.706043435,-78.7785988407948,True,2.68,False,[],"[[7, 2], [3, 6], [2, 6]]",step 0 forced to the best AR of baseline_ar_sweep_perar.csv; policy (runs/ checkpoint for seed 42) places H-blocks deterministically
lightweight_cipher,original,123,0.3,8,27,609507.0,3.55244,0.02323,50298.4566036684,-41.411057779008594,True,3.13,False,[],"[[6, 3], [5, 4], [2, 3]]",step 0 forced to the best AR of baseline_ar_sweep_perar.csv; policy (runs/ checkpoint for seed 123) places H-blocks deterministically
mkDelayWorker32B,original,123,0.1,25,250,18828100.0,9.7625,0.2064,37938244.938,-347.6148895381506,True,46.67,False,[],"[[18, 2], [12, 5], [1, 9], [7, 16], [9, 15], [21, 7], [12, 19], [11, 17], [18, 13], [19, 16], [11, 4], [10, 14], [13, 2], [5, 17], [13, 9], [3, 15], [2, 10], [19, 9], [8, 4], [20, 19], [6, 16], [9, 3], [11, 10], [8, 18], [21, 17], [5, 5], [15, 5], [14, 15], [15, 11], [6, 9], [9, 9], [16, 6], [23, 15], [4, 10], [16, 18], [20, 4], [10, 5], [20, 13], [14, 9], [17, 13], [22, 2], [15, 17], [18, 19]]",step 0 forced to the best AR of baseline_ar_sweep_perar.csv; policy (runs/ checkpoint for seed 123) places H-blocks deterministically
reduction_layer,original,7,0.6,26,43,9383900.0,7.22953,0.1414,9592743.7805738,17.476058492366974,True,96.56,False,[],"[[19, 12], [17, 15], [1, 9], [14, 14], [13, 14], [7, 16], [15, 11], [10, 14], [11, 17], [7, 10], [2, 18], [22, 17], [9, 18], [21, 6], [18, 19], [6, 18], [12, 5], [22, 5], [9, 4], [5, 15], [13, 3], [12, 14], [4, 12], [3, 2], [20, 4], [17, 1], [4, 5], [23, 18], [2, 6], [6, 2], [8, 18], [19, 4]]",step 0 forced to the best AR of baseline_ar_sweep_perar.csv; policy (runs/ checkpoint for seed 7) places H-blocks deterministically
reduction_layer,original,42,0.6,26,43,10402200.0,7.322,0.1443,10990596.282120002,5.450687992270377,True,127.16,False,[],"[[2, 9], [8, 14], [11, 3], [10, 2], [7, 14], [21, 16], [3, 8], [6, 2], [15, 14], [12, 5], [2, 18], [2, 2], [13, 7], [19, 6], [16, 18], [20, 18], [12, 18], [5, 17], [8, 4], [10, 16], [1, 3], [7, 4], [1, 9], [17, 16], [14, 8], [19, 12], [18, 15], [9, 6], [5, 1], [3, 14], [4, 2], [6, 18]]",step 0 forced to the best AR of baseline_ar_sweep_perar.csv; policy (runs/ checkpoint for seed 42) places H-blocks deterministically
reduction_layer,original,123,0.6,26,43,10156100.0,7.38907,0.1414,10611240.5231378,8.714189361735535,True,98.43,False,[],"[[18, 2], [12, 5], [1, 9], [7, 16], [9, 15], [18, 13], [12, 19], [21, 7], [11, 17], [19, 16], [11, 4], [13, 2], [10, 14], [13, 9], [5, 17], [2, 10], [3, 15], [19, 9], [8, 4], [9, 3], [20, 19], [11, 10], [6, 16], [8, 13], [15, 5], [21, 17], [15, 11], [6, 9], [5, 5], [9, 9], [14, 15], [4, 10]]",step 0 forced to the best AR of baseline_ar_sweep_perar.csv; policy (runs/ checkpoint for seed 123) places H-blocks deterministically
