circuit,seed,variant,draw_index,grid_w,grid_h,area_mwta,delay_ns,power_w,adp,adp_reduction_pct,vtr_success,vtr_seconds,cached,source
usb_uart_core,,columns,0,12,12,370010.0,4.22577,0.01344,21014.476999488,5.204766066917757,True,4.28,False,reused from data_export4/g1_sweep_new_circuits.csv at AR 1.0 (unseeded; seed column empty)
uriscv_core,,columns,0,16,16,1187590.0,8.88144,0.01468,154837.43695852798,9.217924669156377,True,10.59,False,reused from data_export4/g1_sweep_new_circuits.csv at AR 1.0 (unseeded; seed column empty)
lenet,,columns,0,38,38,11719900.0,8.89815,0.05911,6164311.660015349,8.46127931009212,True,1082.81,False,reused from data_export4/g1_sweep_new_circuits.csv at AR 1.0 (unseeded; seed column empty)
aes_inv_cipher,,columns,0,30,30,4435340.0,7.56628,0.07913,2655525.595644376,7.370861378309016,True,42.25,False,reused from data_export4/g1_sweep_new_circuits.csv at AR 1.0 (unseeded; seed column empty)
8051,,columns,0,17,17,1379140.0,13.6677,0.01168,220164.16636704,14.35674777536056,True,13.03,False,reused from data_export4/g1_sweep_new_circuits.csv at AR 1.0 (unseeded; seed column empty)
stereovision1,,columns,0,40,40,8581930.0,5.45065,0.1098,5136125.2236441,-20.95886867692063,True,69.24,False,reused from data_export4/g1_sweep_new_circuits.csv at AR 1.0 (unseeded; seed column empty)
usb_uart_core,7,policy,0,12,12,370567.0,4.31259,0.01319,21078.9856732107,4.913770729921973,True,4.14,False,step 0 forced to 1.0; policy places H-blocks deterministically
usb_uart_core,7,random,0,13,13,411373.0,4.37689,0.01368,24631.3101811896,-11.110583944633365,True,4.39,False,"AR 1.0 + uniform legal placement, numpy.default_rng([7, 0, 0]), circuit_index = position in the new-six list"
usb_uart_core,7,random,1,12,12,357289.0,4.19235,0.01352,20251.344889308002,8.647216093540937,True,4.14,False,"AR 1.0 + uniform legal placement, numpy.default_rng([7, 0, 1]), circuit_index = position in the new-six list"
usb_uart_core,7,random,2,13,13,429515.0,4.11926,0.01434,25371.531970626,-14.449686682888425,True,4.34,False,"AR 1.0 + uniform legal placement, numpy.default_rng([7, 0, 2]), circuit_index = position in the new-six list"
usb_uart_core,42,policy,0,12,12,386320.0,4.73146,0.01234,22555.763119648,-1.7478970101571363,True,4.14,False,step 0 forced to 1.0; policy places H-blocks deterministically
usb_uart_core,42,random,0,13,13,429759.0,4.45484,0.01352,25884.1425297312,-16.762046770085906,True,4.24,False,"AR 1.0 + uniform legal placement, numpy.default_rng([42, 0, 0]), circuit_index = position in the new-six list"
