 layer     x     y   occupancy           %    capacity
     0     0     0           0       0.000           0
     0     0     1           0       0.000           0
     0     0     2           0       0.000           0
     0     0     3           0       0.000           0
     0     0     4           0       0.000           0
     0     0     5           0       0.000           0
     0     0     6           0       0.000           0
     0     0     7           0       0.000           0
     0     0     8           0       0.000           0
     0     0     9           0       0.000           0
     0     0    10           0       0.000           0
     0     0    11           0       0.000           0
     0     0    12           0       0.000           0
     0     0    13           0       0.000           0
     0     1     0           0       0.000          58
     0     1     1           1       1.724          58
     0     1     2           0       0.000          58
     0     1     3           0       0.000          58
     0     1     4           0       0.000          58
     0     1     5           0       0.000          58
     0     1     6           3       5.172          58
     0     1     7           4       6.897          58
     0     1     8           8      13.793          58
     0     1     9          14      24.138          58
     0     1    10          21      36.207          58
     0     1    11          15      25.862          58
     0     1    12          16      27.586          58
     0     1    13          18      31.034          58
     0     2     0           1       1.724          58
     0     2     1           1       1.724          58
     0     2     2           0       0.000          58
     0     2     3           0       0.000          58
     0     2     4           2       3.448          58
     0     2     5           2       3.448          58
     0     2     6           5       8.621          58
     0     2     7          10      17.241          58
     0     2     8          11      18.966          58
     0     2     9          18      31.034          58
     0     2    10          24      41.379          58
     0     2    11          20      34.483          58
     0     2    12          15      25.862          58
     0     2    13          20      34.483          58
     0     3     0           3       5.172          58
     0     3     1           3       5.172          58
     0     3     2           2       3.448          58
     0     3     3           1       1.724          58
     0     3     4           2       3.448          58
     0     3     5           2       3.448          58
     0     3     6           8      13.793          58
     0     3     7          12      20.690          58
     0     3     8          15      25.862          58
     0     3     9          18      31.034          58
     0     3    10          26      44.828          58
     0     3    11          24      41.379          58
     0     3    12          13      22.414          58
     0     3    13          23      39.655          58
     0     4     0           9      15.517          58
     0     4     1           8      13.793          58
     0     4     2           8      13.793          58
     0     4     3           2       3.448          58
     0     4     4           3       5.172          58
     0     4     5           6      10.345          58
     0     4     6           9      15.517          58
     0     4     7          13      22.414          58
     0     4     8          14      24.138          58
     0     4     9          19      32.759          58
     0     4    10          31      53.448          58
     0     4    11          26      44.828          58
     0     4    12          11      18.966          58
     0     4    13          32      55.172          58
     0     5     0          19      32.759          58
     0     5     1           9      15.517          58
     0     5     2          14      24.138          58
     0     5     3          11      18.966          58
     0     5     4           8      13.793          58
     0     5     5          10      17.241          58
     0     5     6          11      18.966          58
     0     5     7          17      29.310          58
     0     5     8          20      34.483          58
     0     5     9          23      39.655          58
     0     5    10          26      44.828          58
     0     5    11          26      44.828          58
     0     5    12           8      13.793          58
     0     5    13          35      60.345          58
     0     6     0          29      50.000          58
     0     6     1          18      31.034          58
     0     6     2          22      37.931          58
     0     6     3          21      36.207          58
     0     6     4          16      27.586          58
     0     6     5          16      27.586          58
     0     6     6          17      29.310          58
     0     6     7          21      36.207          58
     0     6     8          19      32.759          58
     0     6     9          20      34.483          58
     0     6    10          21      36.207          58
     0     6    11          17      29.310          58
     0     6    12           6      10.345          58
     0     6    13          36      62.069          58
     0     7     0          38      65.517          58
     0     7     1          27      46.552          58
     0     7     2          30      51.724          58
     0     7     3          31      53.448          58
     0     7     4          27      46.552          58
     0     7     5          24      41.379          58
     0     7     6          21      36.207          58
     0     7     7          24      41.379          58
     0     7     8          15      25.862          58
     0     7     9          15      25.862          58
     0     7    10          12      20.690          58
     0     7    11          11      18.966          58
     0     7    12           5       8.621          58
     0     7    13          34      58.621          58
     0     8     0          45      77.586          58
     0     8     1          37      63.793          58
     0     8     2          37      63.793          58
     0     8     3          40      68.966          58
     0     8     4          37      63.793          58
     0     8     5          30      51.724          58
     0     8     6          30      51.724          58
     0     8     7          26      44.828          58
     0     8     8          21      36.207          58
