 layer     x     y   occupancy           %    capacity
     0     0     0           0       0.000           0
     0     0     1           0       0.000          58
     0     0     2           0       0.000          58
     0     0     3           0       0.000          58
     0     0     4           0       0.000          58
     0     0     5           0       0.000          58
     0     0     6           0       0.000          58
     0     0     7           4       6.897          58
     0     0     8          10      17.241          58
     0     0     9          18      31.034          58
     0     0    10          25      43.103          58
     0     0    11          27      46.552          58
     0     0    12          25      43.103          58
     0     0    13          20      34.483          58
     0     0    14           0       0.000           0
     0     1     0           0       0.000           0
     0     1     1           1       1.724          58
     0     1     2           1       1.724          58
     0     1     3           1       1.724          58
     0     1     4           1       1.724          58
     0     1     5           1       1.724          58
     0     1     6           3       5.172          58
     0     1     7           7      12.069          58
     0     1     8          12      20.690          58
     0     1     9          19      32.759          58
     0     1    10          23      39.655          58
     0     1    11          25      43.103          58
     0     1    12          21      36.207          58
     0     1    13          16      27.586          58
     0     1    14           0       0.000           0
     0     2     0           0       0.000           0
     0     2     1           0       0.000          58
     0     2     2           0       0.000          58
     0     2     3           0       0.000          58
     0     2     4           0       0.000          58
     0     2     5           0       0.000          58
     0     2     6           1       1.724          58
     0     2     7           3       5.172          58
     0     2     8           5       8.621          58
     0     2     9           7      12.069          58
     0     2    10          10      17.241          58
     0     2    11          10      17.241          58
     0     2    12           9      15.517          58
     0     2    13           9      15.517          58
     0     2    14           0       0.000           0
     0     3     0           0       0.000           0
     0     3     1           7      12.069          58
     0     3     2           4       6.897          58
     0     3     3           3       5.172          58
     0     3     4           2       3.448          58
     0     3     5           2       3.448          58
     0     3     6           1       1.724          58
     0     3     7           3       5.172          58
     0     3     8           5       8.621          58
     0     3     9           7      12.069          58
     0     3    10          14      24.138          58
     0     3    11          14      24.138          58
     0     3    12          14      24.138          58
     0     3    13          13      22.414          58
     0     3    14           0       0.000           0
     0     4     0           0       0.000           0
     0     4     1           8      13.793          58
     0     4     2           9      15.517          58
     0     4     3           8      13.793          58
     0     4     4          11      18.966          58
     0     4     5           9      15.517          58
     0     4     6          13      22.414          58
     0     4     7          16      27.586          58
     0     4     8          20      34.483          58
     0     4     9          25      43.103          58
     0     4    10          30      51.724          58
     0     4    11          30      51.724          58
     0     4    12          24      41.379          58
     0     4    13          18      31.034          58
     0     4    14           0       0.000           0
     0     5     0           0       0.000           0
     0     5     1           9      15.517          58
     0     5     2          11      18.966          58
     0     5     3          15      25.862          58
     0     5     4          15      25.862          58
     0     5     5          19      32.759          58
