 layer     x     y   occupancy           %    capacity
     0     0     0           0       0.000           0
     0     0     1           3       5.556          54
     0     0     2           2       3.704          54
     0     0     3           2       3.704          54
     0     0     4           2       3.704          54
     0     0     5           0       0.000          54
     0     0     6           0       0.000          54
     0     0     7           0       0.000          54
     0     0     8           0       0.000          54
     0     0     9           0       0.000          54
     0     0    10           0       0.000          54
     0     0    11           0       0.000          54
     0     0    12           0       0.000          54
     0     0    13           0       0.000          54
     0     0    14           0       0.000          54
     0     0    15           0       0.000           0
     0     1     0           0       0.000           0
     0     1     1           6      11.111          54
     0     1     2           5       9.259          54
     0     1     3           4       7.407          54
     0     1     4           1       1.852          54
     0     1     5           1       1.852          54
     0     1     6           1       1.852          54
     0     1     7           1       1.852          54
     0     1     8           0       0.000          54
     0     1     9           0       0.000          54
     0     1    10           0       0.000          54
     0     1    11           0       0.000          54
     0     1    12           0       0.000          54
     0     1    13           1       1.852          54
     0     1    14           2       3.704          54
     0     1    15           0       0.000           0
     0     2     0           0       0.000           0
     0     2     1           8      14.815          54
     0     2     2           9      16.667          54
     0     2     3           9      16.667          54
     0     2     4           8      14.815          54
     0     2     5           7      12.963          54
     0     2     6           7      12.963          54
     0     2     7           7      12.963          54
     0     2     8           7      12.963          54
     0     2     9          10      18.519          54
     0     2    10           7      12.963          54
     0     2    11           7      12.963          54
     0     2    12           5       9.259          54
     0     2    13           2       3.704          54
     0     2    14           2       3.704          54
     0     2    15           0       0.000           0
     0     3     0           0       0.000           0
     0     3     1          19      35.185          54
     0     3     2          19      35.185          54
     0     3     3          19      35.185          54
     0     3     4          19      35.185          54
     0     3     5          17      31.481          54
     0     3     6          11      20.370          54
     0     3     7           9      16.667          54
     0     3     8           6      11.111          54
     0     3     9           4       7.407          54
     0     3    10           5       9.259          54
     0     3    11           3       5.556          54
     0     3    12           3       5.556          54
     0     3    13           4       7.407          54
     0     3    14           3       5.556          54
     0     3    15           0       0.000           0
     0     4     0           0       0.000           0
     0     4     1          14      25.926          54
     0     4     2          14      25.926          54
     0     4     3          16      29.630          54
     0     4     4          17      31.481          54
     0     4     5          12      22.222          54
     0     4     6          13      24.074          54
     0     4     7          11      20.370          54
     0     4     8          11      20.370          54
     0     4     9          11      20.370          54
     0     4    10          10      18.519          54
     0     4    11           7      12.963          54
     0     4    12           7      12.963          54
     0     4    13           5       9.259          54
     0     4    14           4       7.407          54
     0     4    15           0       0.000           0
     0     5     0           0       0.000           0
     0     5     1          21      38.889          54
     0     5     2          27      50.000          54
     0     5     3          25      46.296          54
     0     5     4          34      62.963          54
     0     5     5          36      66.667          54
     0     5     6          33      61.111          54
     0     5     7          33      61.111          54
     0     5     8          30      55.556          54
     0     5     9          28      51.852          54
     0     5    10          23      42.593          54
     0     5    11          21      38.889          54
     0     5    12          16      29.630          54
     0     5    13          10      18.519          54
     0     5    14           9      16.667          54
     0     5    15           0       0.000           0
     0     6     0           0       0.000           0
     0     6     1          32      59.259          54
     0     6     2          39      72.222          54
     0     6     3          42      77.778          54
     0     6     4          41      75.926          54
     0     6     5          43      79.630          54
     0     6     6          40      74.074          54
     0     6     7          38      70.370          54
     0     6     8          39      72.222          54
     0     6     9          38      70.370          54
     0     6    10          30      55.556          54
     0     6    11          22      40.741          54
     0     6    12          17      31.481          54
     0     6    13          11      20.370          54
     0     6    14          13      24.074          54
     0     6    15           0       0.000           0
     0     7     0           0       0.000           0
     0     7     1          34      62.963          54
     0     7     2          40      74.074          54
     0     7     3          38      70.370          54
     0     7     4          37      68.519          54
     0     7     5          39      72.222          54
     0     7     6          37      68.519          54
     0     7     7          41      75.926          54
     0     7     8          42      77.778          54
     0     7     9          39      72.222          54
     0     7    10          32      59.259          54
     0     7    11          26      48.148          54
     0     7    12          23      42.593          54
     0     7    13          18      33.333          54
     0     7    14          16      29.630          54
     0     7    15           0       0.000           0
     0     8     0           0       0.000           0
     0     8     1          33      61.111          54
     0     8     2          36      66.667          54
     0     8     3          38      70.370          54
     0     8     4          37      68.519          54
     0     8     5          40      74.074          54
     0     8     6          38      70.370          54
     0     8     7          37      68.519          54
     0     8     8          37      68.519          54
     0     8     9          33      61.111          54
     0     8    10          26      48.148          54
     0     8    11          22      40.741          54
     0     8    12          18      33.333          54
     0     8    13          11      20.370          54
     0     8    14          10      18.519          54
     0     8    15           0       0.000           0
     0     9     0           0       0.000           0
     0     9     1          27      50.000          54
     0     9     2          28      51.852          54
     0     9     3          29      53.704          54
     0     9     4          26      48.148          54
     0     9     5          32      59.259          54
     0     9     6          33      61.111          54
     0     9     7          31      57.407          54
     0     9     8          32      59.259          54
     0     9     9          26      48.148          54
     0     9    10          20      37.037          54
     0     9    11          16      29.630          54
     0     9    12          10      18.519          54
     0     9    13           5       9.259          54
     0     9    14           3       5.556          54
     0     9    15           0       0.000           0
     0    10     0           0       0.000           0
     0    10     1          17      31.481          54
     0    10     2          23      42.593          54
     0    10     3          26      48.148          54
     0    10     4          29      53.704          54
     0    10     5          29      53.704          54
     0    10     6          26      48.148          54
     0    10     7          19      35.185          54
     0    10     8          15      27.778          54
     0    10     9          12      22.222          54
     0    10    10           7      12.963          54
     0    10    11           8      14.815          54
     0    10    12           4       7.407          54
     0    10    13           3       5.556          54
     0    10    14           4       7.407          54
     0    10    15           0       0.000           0
     0    11     0           0       0.000           0
     0    11     1          12      22.222          54
     0    11     2          18      33.333          54
     0    11     3          23      42.593          54
     0    11     4          26      48.148          54
     0    11     5          31      57.407          54
     0    11     6          29      53.704          54
     0    11     7          23      42.593          54
     0    11     8          16      29.630          54
     0    11     9           8      14.815          54
     0    11    10           1       1.852          54
     0    11    11           3       5.556          54
     0    11    12           2       3.704          54
     0    11    13           2       3.704          54
     0    11    14           3       5.556          54
     0    11    15           0       0.000           0
     0    12     0           0       0.000           0
     0    12     1          16      29.630          54
     0    12     2          20      37.037          54
     0    12     3          26      48.148          54
     0    12     4          28      51.852          54
     0    12     5          33      61.111          54
     0    12     6          29      53.704          54
     0    12     7          19      35.185          54
     0    12     8          12      22.222          54
     0    12     9           2       3.704          54
     0    12    10           1       1.852          54
     0    12    11           1       1.852          54
     0    12    12           2       3.704          54
     0    12    13           3       5.556          54
     0    12    14           2       3.704          54
